order_id,order_date,supplier_id,product_id,qty_ordered,delivery_days_actual
PO00254,2024-09-09,S018,P0036,350,18
PO00255,2023-02-04,S015,P0006,320,15
PO00256,2023-10-15,S014,P0032,361,28
PO00257,2024-09-06,S006,P0013,103,23
PO00258,2025-07-10,S007,P0032,180,26
PO00259,2024-02-06,S004,P0036,317,12
PO00260,2024-09-01,S002,P0002,116,18
PO00261,2025-04-26,S016,P0013,332,17
PO00262,2025-06-28,S004,P0042,383,20
PO00263,2025-01-31,S002,P0007,456,6
PO00264,2025-03-21,S020,P0032,485,28
PO00265,2024-10-28,S013,P0037,301,9
PO00266,2023-05-03,S003,P0036,194,25
PO00267,2025-10-20,S009,P0029,392,12
PO00268,2024-05-16,S019,P0039,310,6
PO00269,2024-09-26,S009,P0042,492,15
PO00270,2025-04-10,S011,P0011,413,23
PO00271,2023-06-28,S003,P0012,466,13
PO00272,2025-01-02,S010,P0050,325,17
PO00273,2024-07-02,S009,P0036,181,13
PO00274,2025-05-20,S006,P0027,354,13
PO00275,2024-06-05,S007,P0027,437,23
PO00276,2025-03-13,S014,P0030,238,21
PO00277,2024-03-09,S011,P0001,273,20
PO00278,2024-11-04,S018,P0026,159,27
PO00279,2025-01-14,S007,P0035,368,5
PO00280,2024-12-15,S007,P0008,133,14
PO00281,2024-11-18,S013,P0028,308,10
PO00282,2024-08-02,S016,P0004,449,7
PO00283,2023-08-28,S012,P0031,374,23
PO00284,2024-10-11,S002,P0012,163,19
PO00285,2024-09-17,S007,P0017,483,27
PO00286,2024-09-19,S019,P0037,211,21
PO00287,2025-06-12,S010,P0049,210,12
PO00288,2024-01-04,S010,P0018,246,29
PO00289,2024-12-27,S006,P0034,158,26
PO00290,2024-04-03,S020,P0022,223,28
PO00291,2024-02-29,S012,P0048,254,10
PO00292,2024-01-30,S001,P0012,261,24
PO00293,2025-02-17,S004,P0041,136,16
PO00294,2025-08-25,S013,P0035,115,5
PO00295,2023-11-09,S019,P0013,199,8
PO00296,2025-01-07,S005,P0026,287,11
PO00297,2023-09-09,S019,P0034,280,6
PO00298,2023-11-01,S012,P0013,422,28
PO00299,2025-08-15,S007,P0048,395,15
PO00300,2023-02-21,S007,P0003,357,13
PO00301,2023-08-31,S019,P0036,337,5
PO00302,2023-03-18,S013,P0038,334,16
PO00303,2023-10-25,S016,P0048,136,12
PO00304,2023-11-30,S002,P0035,367,17
PO00305,2023-12-20,S018,P0042,483,23
PO00306,2025-10-29,S010,P0005,276,24
PO00307,2023-09-20,S002,P0037,472,10
PO00308,2023-02-05,S002,P0050,349,25
PO00309,2023-02-04,S007,P0023,471,8
PO00310,2024-08-08,S001,P0044,406,26
PO00311,2025-01-24,S004,P0034,180,27
PO00312,2023-03-22,S007,P0007,304,29
PO00313,2023-11-26,S018,P0028,114,15
PO00314,2023-06-09,S017,P0031,141,16
PO00315,2025-03-17,S012,P0041,435,13
PO00316,2025-11-23,S002,P0010,281,6
PO00317,2024-02-27,S012,P0037,164,29
PO00318,2024-02-28,S017,P0047,371,16
PO00319,2023-05-23,S008,P0035,199,20
PO00320,2023-06-26,S016,P0025,269,20
PO00321,2024-10-15,S007,P0050,164,8
PO00322,2025-09-26,S003,P0006,214,22
PO00323,2024-02-03,S006,P0038,399,12
PO00324,2024-01-25,S002,P0037,100,8
PO00325,2025-09-28,S012,P0045,149,17
PO00326,2025-05-12,S018,P0031,478,22
PO00327,2025-09-10,S014,P0024,288,7
PO00328,2025-06-09,S006,P0029,456,29
PO00329,2023-06-16,S002,P0035,313,10
PO00330,2024-01-15,S016,P0037,319,14
PO00331,2025-10-21,S018,P0035,341,9
PO00332,2023-05-09,S002,P0002,262,19
PO00333,2024-11-07,S002,P0015,373,16
PO00334,2024-10-13,S013,P0044,282,11
PO00335,2024-08-02,S020,P0001,143,20
PO00336,2024-08-05,S013,P0025,110,6
PO00337,2025-11-29,S013,P0010,394,15
PO00338,2024-10-27,S006,P0034,392,29
PO00339,2024-11-25,S016,P0040,450,14
PO00340,2024-02-13,S002,P0005,140,19
PO00341,2024-06-20,S020,P0018,154,29
PO00342,2025-02-23,S010,P0032,195,28
PO00343,2023-11-27,S016,P0025,467,22
PO00344,2025-08-11,S020,P0002,260,10
PO00345,2024-01-26,S011,P0031,405,24
PO00346,2023-11-27,S018,P0032,243,23
PO00347,2024-01-24,S012,P0021,433,7
PO00348,2024-09-01,S011,P0018,227,29
PO00349,2024-02-13,S016,P0045,114,8
PO00350,2024-01-20,S015,P0009,308,12
PO00351,2025-08-15,S001,P0023,155,5
PO00352,2025-04-07,S008,P0038,177,14
PO00353,2024-10-06,S009,P0023,187,16
PO00354,2025-05-07,S011,P0016,110,24
PO00355,2025-05-20,S007,P0015,192,28
PO00356,2023-01-22,S012,P0024,423,12
PO00357,2024-05-29,S007,P0047,451,20
PO00358,2025-10-21,S006,P0041,131,25
PO00359,2025-02-04,S014,P0038,422,11
PO00360,2025-08-22,S004,P0016,489,29
PO00361,2025-05-10,S013,P0043,244,23
PO00362,2025-11-06,S016,P0021,223,7
PO00363,2025-06-15,S002,P0026,147,15
PO00364,2025-07-17,S011,P0045,291,12
PO00365,2024-11-16,S001,P0035,488,24
PO00366,2024-02-18,S014,P0045,301,7
PO00367,2025-04-24,S015,P0026,224,15
PO00368,2024-10-10,S009,P0048,446,29
PO00369,2023-07-19,S004,P0036,391,16
PO00370,2024-03-07,S001,P0003,195,14
PO00371,2025-05-01,S013,P0026,142,14
PO00372,2024-01-31,S018,P0048,197,18
PO00373,2023-09-19,S007,P0007,340,16
PO00374,2024-11-13,S008,P0023,434,14
PO00375,2025-01-07,S004,P0041,428,12
PO00376,2025-01-05,S020,P0019,229,17
PO00377,2023-07-30,S014,P0013,202,26
PO00378,2024-09-28,S010,P0023,425,24
PO00379,2024-11-12,S007,P0001,312,19
PO00380,2023-12-25,S007,P0006,479,21
PO00381,2023-10-07,S014,P0008,459,18
PO00382,2023-09-08,S011,P0038,121,12
PO00383,2025-03-13,S019,P0028,107,24
PO00384,2025-11-14,S012,P0028,119,6
PO00385,2023-09-28,S008,P0016,137,10
PO00386,2023-01-27,S020,P0032,492,18
PO00387,2024-02-03,S005,P0023,246,5
PO00388,2025-02-22,S007,P0006,174,27
PO00389,2024-03-15,S020,P0007,476,29
PO00390,2025-11-11,S017,P0007,289,10
PO00391,2024-12-27,S013,P0009,217,9
PO00392,2023-07-12,S008,P0026,447,7
PO00393,2025-04-06,S001,P0047,212,11
PO00394,2023-12-15,S011,P0019,263,6
PO00395,2024-11-25,S001,P0027,120,21
PO00396,2024-10-04,S013,P0041,170,20
PO00397,2023-12-31,S014,P0013,471,6
PO00398,2023-04-02,S001,P0021,444,24
PO00399,2025-04-27,S014,P0042,397,16
PO00400,2025-03-09,S010,P0028,327,24
PO00401,2023-04-18,S003,P0004,156,20
PO00402,2024-10-01,S020,P0008,184,22
PO00403,2023-01-18,S003,P0033,457,20
PO00404,2023-06-23,S018,P0015,332,24
PO00405,2024-06-19,S019,P0007,176,9
PO00406,2023-09-21,S006,P0006,189,28
PO00407,2024-11-16,S002,P0050,186,25
PO00408,2024-08-08,S020,P0016,240,21
PO00409,2024-04-23,S004,P0002,263,15
PO00410,2024-07-27,S002,P0025,320,18
PO00411,2024-03-05,S020,P0019,492,14
PO00412,2024-02-07,S003,P0037,183,27
PO00413,2024-05-29,S018,P0005,171,28
PO00414,2025-05-19,S018,P0020,354,18
PO00415,2025-05-07,S018,P0023,125,16
PO00416,2025-10-11,S005,P0015,137,8
PO00417,2024-08-13,S005,P0009,190,5
PO00418,2025-04-24,S015,P0007,281,8
PO00419,2025-07-02,S008,P0037,186,8
PO00420,2023-03-10,S002,P0003,497,20
PO00421,2024-07-24,S008,P0024,343,9
PO00422,2023-08-25,S006,P0021,161,20
PO00423,2023-06-26,S019,P0030,299,12
PO00424,2025-05-17,S011,P0018,289,24
PO00425,2024-05-21,S004,P0016,290,21
PO00426,2025-05-28,S020,P0045,237,21
PO00427,2023-09-02,S010,P0050,242,24
PO00428,2025-08-09,S008,P0017,285,20
PO00429,2025-07-04,S018,P0049,322,14
PO00430,2025-09-01,S020,P0027,389,15
PO00431,2024-02-28,S018,P0044,250,27
PO00432,2025-07-07,S013,P0010,312,25
PO00433,2024-07-06,S002,P0020,301,11
PO00434,2024-10-15,S010,P0047,377,9
PO00435,2023-02-12,S017,P0021,269,13
PO00436,2023-04-13,S017,P0015,256,13
PO00437,2024-02-19,S013,P0011,244,16
PO00438,2023-01-17,S008,P0010,477,23
PO00439,2023-12-04,S014,P0014,122,28
PO00440,2023-08-23,S003,P0045,356,25
PO00441,2024-11-23,S012,P0048,397,25
PO00442,2023-02-15,S001,P0048,165,11
PO00443,2024-09-12,S015,P0009,372,17
PO00444,2024-10-26,S013,P0045,197,5
PO00445,2024-02-13,S002,P0046,368,21
PO00446,2023-01-12,S004,P0030,490,12
PO00447,2024-07-08,S020,P0015,125,22
PO00448,2024-05-31,S007,P0017,447,25
PO00449,2025-04-01,S010,P0032,170,29
PO00450,2025-03-10,S013,P0033,226,5
PO00451,2025-06-18,S014,P0016,478,24
PO00452,2025-09-17,S008,P0019,300,25
PO00453,2025-10-14,S008,P0002,316,19
PO00454,2024-02-02,S018,P0004,417,17
PO00455,2025-09-03,S016,P0005,140,14
PO00456,2023-07-07,S017,P0038,458,10
PO00457,2024-04-07,S007,P0008,107,28
PO00458,2024-12-29,S010,P0040,418,26
PO00459,2023-02-20,S012,P0024,362,29
PO00460,2024-02-01,S005,P0031,425,7
PO00461,2023-08-15,S020,P0021,109,17
PO00462,2023-04-14,S010,P0014,254,20
PO00463,2023-01-30,S005,P0007,439,9
PO00464,2023-07-29,S002,P0003,358,13
PO00465,2025-01-30,S005,P0026,344,28
PO00466,2024-08-01,S007,P0028,323,27
PO00467,2025-05-06,S016,P0044,450,23
PO00468,2024-11-26,S015,P0019,376,19
PO00469,2025-06-21,S001,P0013,439,13
PO00470,2024-03-28,S018,P0001,390,29
PO00471,2024-04-01,S019,P0039,407,19
PO00472,2024-03-24,S001,P0038,314,18
PO00473,2023-01-19,S009,P0009,287,23
PO00474,2023-09-04,S010,P0021,127,29
PO00475,2023-03-07,S010,P0001,177,21
PO00476,2024-02-05,S015,P0008,467,5
PO00477,2024-03-17,S007,P0022,299,5
PO00478,2025-06-30,S001,P0026,413,23
PO00479,2024-06-28,S007,P0028,468,17
PO00480,2025-06-19,S001,P0017,232,28
PO00481,2024-03-15,S005,P0021,282,26
PO00482,2023-09-12,S019,P0028,424,27
PO00483,2024-01-02,S018,P0018,314,10
PO00484,2025-09-25,S014,P0033,287,20
PO00485,2024-07-02,S001,P0029,245,21
PO00486,2023-12-04,S011,P0031,390,16
PO00487,2025-08-18,S011,P0012,344,9
PO00488,2023-01-23,S003,P0046,192,20
PO00489,2025-02-23,S003,P0019,179,15
PO00490,2024-07-27,S019,P0033,375,11
PO00491,2025-05-20,S004,P0030,314,18
PO00492,2025-10-04,S003,P0006,296,28
PO00493,2023-07-01,S003,P0020,419,25
PO00494,2024-11-14,S013,P0033,469,12
PO00495,2023-01-31,S011,P0029,256,25
PO00496,2023-01-10,S019,P0049,356,5
PO00497,2023-12-25,S014,P0035,292,25
PO00498,2024-09-25,S018,P0026,398,5
PO00499,2024-10-13,S020,P0023,452,8
PO00500,2025-02-02,S019,P0037,469,28
PO00501,2024-06-28,S020,P0027,195,10
PO00502,2025-03-22,S011,P0048,203,22
PO00503,2025-07-17,S016,P0048,373,18
PO00504,2024-05-06,S010,P0023,363,23
PO00505,2024-07-12,S007,P0038,124,21
PO00506,2025-04-19,S005,P0050,432,10
PO00507,2024-08-10,S001,P0050,211,20
PO00508,2024-10-28,S008,P0030,249,19
PO00509,2025-09-23,S013,P0049,419,19
PO00510,2024-04-27,S020,P0043,290,10
PO00511,2024-08-25,S006,P0042,353,23
PO00512,2023-07-21,S017,P0018,129,19
PO00513,2024-10-21,S015,P0050,295,21
PO00514,2023-04-07,S015,P0030,391,6
PO00515,2025-06-05,S006,P0019,158,5
PO00516,2023-01-18,S007,P0045,381,23
PO00517,2025-09-02,S001,P0042,156,7
PO00518,2024-12-05,S011,P0043,177,21
PO00519,2023-09-28,S013,P0001,242,28
PO00520,2024-11-08,S013,P0045,491,11
PO00521,2024-04-17,S020,P0004,134,18
PO00522,2024-07-26,S016,P0017,303,18
PO00523,2024-04-25,S004,P0037,231,15
PO00524,2024-11-30,S016,P0006,175,20
PO00525,2025-02-16,S017,P0040,387,26
PO00526,2024-09-18,S016,P0049,483,11
PO00527,2023-09-19,S003,P0044,396,22
PO00528,2023-10-27,S003,P0050,196,28
PO00529,2023-11-30,S006,P0041,109,27
PO00530,2025-06-09,S007,P0031,444,21
PO00531,2024-09-27,S007,P0038,142,28
PO00532,2023-12-14,S013,P0022,398,16
PO00533,2025-11-24,S003,P0021,331,16
PO00534,2025-07-03,S016,P0022,419,15
PO00535,2025-01-04,S011,P0045,494,17
PO00536,2023-08-05,S020,P0035,413,16
PO00537,2025-10-03,S008,P0029,148,27
PO00538,2024-05-22,S019,P0024,178,14
PO00539,2025-06-13,S014,P0017,227,6
PO00540,2023-07-06,S010,P0036,369,7
PO00541,2025-02-06,S001,P0045,110,26
PO00542,2024-03-27,S019,P0050,430,15
PO00543,2025-10-13,S002,P0023,371,10
PO00544,2024-05-22,S019,P0010,397,24
PO00545,2023-06-02,S007,P0029,485,28
PO00546,2025-07-18,S010,P0037,446,6
PO00547,2023-01-25,S006,P0027,278,17
PO00548,2024-10-23,S015,P0020,139,7
PO00549,2025-05-30,S017,P0012,195,11
PO00550,2023-06-09,S001,P0038,373,8
PO00551,2025-10-04,S007,P0006,336,16
PO00552,2024-04-07,S009,P0026,285,28
PO00553,2024-12-18,S009,P0024,345,18
PO00554,2023-11-19,S019,P0046,177,14
PO00555,2023-03-07,S017,P0002,365,13
PO00556,2023-10-19,S007,P0004,228,26
PO00557,2023-12-05,S014,P0030,416,10
PO00558,2024-03-03,S007,P0002,242,16
PO00559,2024-11-17,S017,P0032,378,26
PO00560,2023-06-07,S011,P0006,153,12
PO00561,2025-10-06,S020,P0001,445,15
PO00562,2025-06-24,S004,P0042,423,22
PO00563,2025-07-27,S006,P0023,253,6
PO00564,2025-05-20,S006,P0029,226,14
PO00565,2025-02-07,S009,P0008,319,17
PO00566,2024-09-04,S012,P0043,210,10
PO00567,2024-10-06,S003,P0024,270,27
PO00568,2024-11-02,S009,P0013,160,14
PO00569,2025-03-17,S013,P0012,176,26
PO00570,2023-11-23,S003,P0005,115,19
PO00571,2023-02-20,S010,P0019,365,23
PO00572,2023-04-26,S010,P0018,410,14
PO00573,2025-01-17,S006,P0015,142,19
PO00574,2023-11-27,S006,P0012,401,26
PO00575,2025-03-26,S016,P0046,420,14
PO00576,2023-07-30,S015,P0011,227,17
PO00577,2023-01-27,S015,P0005,313,23
PO00578,2024-11-18,S003,P0019,159,21
PO00579,2025-09-09,S002,P0002,201,19
PO00580,2025-09-17,S015,P0036,480,15
PO00581,2024-05-26,S019,P0009,255,16
PO00582,2023-10-16,S002,P0008,361,24
PO00583,2025-11-12,S020,P0031,465,20
PO00584,2025-05-10,S003,P0047,191,19
PO00585,2024-09-07,S001,P0030,123,24
PO00586,2025-09-16,S017,P0014,144,22
PO00587,2024-09-29,S002,P0023,332,26
PO00588,2024-03-19,S008,P0007,320,17
PO00589,2023-05-10,S016,P0021,169,9
PO00590,2023-10-22,S002,P0008,356,21
PO00591,2023-09-27,S019,P0004,256,6
PO00592,2025-09-27,S001,P0008,104,26
PO00593,2025-05-05,S007,P0041,213,7
PO00594,2024-06-24,S001,P0011,348,11
PO00595,2025-05-27,S005,P0024,367,21
PO00596,2023-05-26,S018,P0009,153,19
PO00597,2025-09-14,S006,P0017,349,11
PO00598,2025-01-01,S003,P0018,491,7
PO00599,2023-06-08,S018,P0021,462,10
PO00600,2024-01-31,S003,P0031,170,21
PO00601,2024-12-25,S016,P0009,169,5
PO00602,2023-05-02,S015,P0045,491,21
PO00603,2023-05-25,S002,P0034,326,26
PO00604,2023-01-22,S003,P0017,253,6
PO00605,2025-04-20,S005,P0021,356,12
