transaction_id,date,product_id,warehouse_id,quantity_ordered,quantity_fulfilled
TRX000041,2023-11-17,P0017,W10,42,42
TRX000042,2024-05-26,P0049,W08,22,22
TRX000043,2024-02-04,P0034,W01,48,48
TRX000044,2024-10-15,P0002,W04,35,35
TRX000045,2025-08-29,P0007,W08,39,39
TRX000046,2024-04-15,P0036,W10,19,19
TRX000047,2025-04-13,P0013,W02,47,47
TRX000048,2024-12-27,P0020,W07,12,12
TRX000049,2025-05-03,P0030,W08,34,34
TRX000050,2023-02-20,P0030,W09,45,45
TRX000051,2024-07-28,P0011,W07,20,20
TRX000052,2023-05-30,P0031,W09,7,7
TRX000053,2023-11-10,P0003,W02,24,24
TRX000054,2024-07-23,P0002,W01,3,3
TRX000055,2023-11-01,P0048,W01,6,6
TRX000056,2024-11-12,P0003,W04,33,16
TRX000057,2025-04-17,P0015,W01,34,17
TRX000058,2025-09-29,P0017,W07,33,33
TRX000059,2024-03-19,P0048,W08,29,29
TRX000060,2024-09-04,P0007,W03,23,23
TRX000061,2025-09-19,P0048,W01,4,4
TRX000062,2023-09-21,P0005,W03,5,5
TRX000063,2025-09-30,P0034,W02,34,34
TRX000064,2023-01-05,P0033,W06,16,16
TRX000065,2025-02-12,P0045,W07,40,40
TRX000066,2025-05-26,P0016,W09,47,47
TRX000067,2025-09-18,P0037,W05,43,43
TRX000068,2025-06-02,P0003,W04,42,42
TRX000069,2023-02-16,P0047,W01,3,3
TRX000070,2025-05-16,P0048,W06,43,43
TRX000071,2025-04-02,P0043,W08,49,24
TRX000072,2025-07-24,P0050,W04,42,42
TRX000073,2024-10-17,P0021,W01,49,49
TRX000074,2023-09-26,P0041,W05,14,7
TRX000075,2024-01-05,P0008,W10,33,33
TRX000076,2024-09-27,P0022,W05,28,28
TRX000077,2024-10-18,P0005,W02,41,41
TRX000078,2023-04-30,P0017,W06,15,15
TRX000079,2025-04-10,P0037,W10,4,4
TRX000080,2025-01-10,P0014,W09,20,20
TRX000081,2023-04-27,P0039,W06,25,25
TRX000082,2025-03-01,P0041,W08,35,35
TRX000083,2025-10-09,P0028,W10,39,39
TRX000084,2024-09-25,P0031,W03,22,22
TRX000085,2024-05-27,P0017,W10,35,17
TRX000086,2025-03-12,P0035,W02,47,23
TRX000087,2024-07-13,P0040,W04,28,28
TRX000088,2024-05-02,P0022,W09,10,10
TRX000089,2025-06-15,P0045,W09,16,16
TRX000090,2024-12-04,P0048,W03,49,49
TRX000091,2024-08-03,P0029,W01,23,23
TRX000092,2025-02-28,P0010,W01,19,19
TRX000093,2025-05-10,P0018,W04,1,1
TRX000094,2023-09-04,P0035,W04,1,1
TRX000095,2023-06-03,P0044,W10,46,46
TRX000096,2025-09-23,P0016,W06,26,26
TRX000097,2024-11-27,P0050,W05,34,34
TRX000098,2025-10-05,P0049,W06,2,2
TRX000099,2023-04-04,P0007,W10,28,28
TRX000100,2025-08-15,P0030,W07,20,20
TRX000101,2025-10-08,P0019,W07,42,42
TRX000102,2024-03-28,P0023,W10,47,47
TRX000103,2025-06-30,P0008,W10,27,27
TRX000104,2023-08-06,P0017,W09,28,28
TRX000105,2024-04-18,P0021,W06,31,31
TRX000106,2024-03-07,P0026,W08,47,47
TRX000107,2023-12-07,P0028,W02,7,7
TRX000108,2024-07-04,P0039,W08,8,8
TRX000109,2023-12-23,P0033,W09,32,32
TRX000110,2023-01-23,P0040,W04,11,11
TRX000111,2024-06-05,P0019,W05,48,48
TRX000112,2025-03-12,P0029,W05,26,26
TRX000113,2025-01-31,P0020,W02,25,25
TRX000114,2024-03-17,P0020,W05,7,7
TRX000115,2025-02-07,P0010,W09,20,20
TRX000116,2025-10-12,P0012,W04,41,41
TRX000117,2024-05-30,P0033,W10,30,30
TRX000118,2025-11-05,P0025,W03,1,1
TRX000119,2025-03-02,P0025,W07,18,18
TRX000120,2023-12-02,P0004,W08,8,8
TRX000121,2023-09-15,P0004,W10,29,29
TRX000122,2024-05-11,P0009,W06,40,40
TRX000123,2025-06-14,P0015,W06,22,22
TRX000124,2023-06-09,P0026,W05,32,32
TRX000125,2025-05-01,P0015,W06,40,40
TRX000126,2024-11-20,P0026,W09,14,7
TRX000127,2024-01-15,P0028,W02,2,2
TRX000128,2025-08-14,P0007,W10,35,35
TRX000129,2024-11-21,P0032,W03,7,7
TRX000130,2023-10-12,P0012,W01,3,3
TRX000131,2024-02-01,P0035,W04,15,15
TRX000132,2023-01-12,P0032,W02,43,43
TRX000133,2024-05-13,P0009,W06,34,34
TRX000134,2025-01-23,P0014,W01,22,22
TRX000135,2023-02-04,P0013,W08,18,18
TRX000136,2024-12-27,P0044,W10,46,46
TRX000137,2025-04-28,P0033,W06,18,18
TRX000138,2023-03-31,P0032,W09,34,34
TRX000139,2025-02-14,P0019,W06,36,36
TRX000140,2024-08-27,P0030,W10,46,46
TRX000141,2025-08-27,P0016,W07,39,39
TRX000142,2025-10-18,P0012,W05,47,47
TRX000143,2024-02-22,P0010,W08,38,38
TRX000144,2023-04-25,P0002,W08,37,18
TRX000145,2024-09-08,P0018,W10,18,18
TRX000146,2025-04-05,P0013,W09,43,43
TRX000147,2024-02-17,P0029,W06,40,40
TRX000148,2024-12-29,P0024,W01,29,29
TRX000149,2025-10-17,P0038,W09,12,12
TRX000150,2025-01-30,P0012,W03,18,18
TRX000151,2024-11-06,P0029,W09,31,31
TRX000152,2024-04-01,P0022,W07,15,15
TRX000153,2025-07-08,P0036,W03,40,40
TRX000154,2023-07-11,P0001,W09,30,30
TRX000155,2025-01-08,P0043,W07,36,36
TRX000156,2025-09-04,P0040,W07,28,28
TRX000157,2025-10-05,P0034,W07,15,15
TRX000158,2023-04-06,P0034,W02,43,43
TRX000159,2024-10-24,P0048,W04,33,33
TRX000160,2023-02-06,P0033,W10,2,2
TRX000161,2023-10-06,P0004,W08,8,8
TRX000162,2023-08-05,P0038,W02,48,48
TRX000163,2025-05-16,P0030,W04,33,33
TRX000164,2025-05-22,P0046,W10,35,35
TRX000165,2023-03-03,P0020,W08,18,9
TRX000166,2024-08-18,P0026,W03,26,26
TRX000167,2024-12-29,P0015,W06,48,48
TRX000168,2024-02-01,P0007,W02,21,21
TRX000169,2024-11-29,P0007,W08,28,28
TRX000170,2025-11-08,P0050,W08,20,20
TRX000171,2023-06-26,P0029,W01,45,22
TRX000172,2024-01-31,P0023,W03,20,20
TRX000173,2024-03-20,P0034,W02,4,4
TRX000174,2023-03-17,P0020,W07,36,36
TRX000175,2023-09-22,P0015,W07,34,34
TRX000176,2024-03-30,P0033,W04,45,45
TRX000177,2024-12-18,P0017,W08,13,13
TRX000178,2025-01-04,P0020,W03,31,31
TRX000179,2025-04-30,P0013,W09,39,39
TRX000180,2023-05-24,P0044,W05,7,7
TRX000181,2025-06-03,P0024,W02,17,8
TRX000182,2024-01-31,P0047,W09,42,42
TRX000183,2025-11-14,P0037,W01,12,12
TRX000184,2025-08-05,P0007,W08,30,30
TRX000185,2025-06-09,P0008,W06,48,48
TRX000186,2024-07-22,P0023,W01,34,34
TRX000187,2025-11-28,P0014,W04,22,22
TRX000188,2023-04-19,P0004,W03,21,21
TRX000189,2025-07-23,P0021,W07,9,9
TRX000190,2024-02-02,P0046,W07,12,12
TRX000191,2024-09-25,P0010,W06,17,17
TRX000192,2025-01-02,P0022,W10,16,16
TRX000193,2023-08-23,P0030,W10,5,5
TRX000194,2024-10-19,P0030,W08,19,19
TRX000195,2025-01-20,P0016,W07,28,28
TRX000196,2024-08-10,P0011,W04,17,17
TRX000197,2025-10-29,P0022,W07,22,22
TRX000198,2025-08-11,P0029,W01,35,35
TRX000199,2024-05-06,P0025,W03,49,49
TRX000200,2025-07-01,P0014,W02,15,15
TRX000201,2023-06-19,P0014,W07,19,19
TRX000202,2025-08-03,P0002,W09,47,47
TRX000203,2025-03-05,P0013,W05,26,26
TRX000204,2024-09-25,P0003,W09,44,44
TRX000205,2023-01-29,P0030,W08,44,44
TRX000206,2023-12-05,P0018,W01,35,35
TRX000207,2024-05-14,P0036,W02,43,43
TRX000208,2024-05-25,P0021,W06,23,23
TRX000209,2023-08-05,P0019,W05,10,10
TRX000210,2024-03-20,P0016,W07,22,22
TRX000211,2025-05-25,P0028,W09,47,47
TRX000212,2023-06-16,P0004,W04,11,11
TRX000213,2023-04-01,P0015,W08,26,26
TRX000214,2024-12-14,P0001,W04,1,1
TRX000215,2023-02-08,P0048,W03,36,36
TRX000216,2023-06-22,P0047,W02,21,21
TRX000217,2024-10-14,P0016,W08,8,8
TRX000218,2025-01-23,P0020,W08,20,20
TRX000219,2024-04-20,P0033,W03,45,45
TRX000220,2024-03-31,P0017,W01,17,17
TRX000221,2025-04-08,P0005,W06,15,15
TRX000222,2025-06-13,P0005,W05,21,21
TRX000223,2025-10-21,P0039,W08,1,1
TRX000224,2024-01-22,P0013,W06,3,3
TRX000225,2023-12-14,P0044,W04,31,31
TRX000226,2023-07-09,P0036,W10,31,31
TRX000227,2024-05-19,P0030,W10,21,21
TRX000228,2025-04-03,P0004,W02,23,23
TRX000229,2025-07-17,P0023,W08,17,17
TRX000230,2025-07-22,P0021,W05,22,22
TRX000231,2023-05-14,P0021,W08,22,22
TRX000232,2023-02-27,P0006,W05,36,36
TRX000233,2024-11-15,P0024,W06,8,8
TRX000234,2024-11-02,P0047,W10,47,47
TRX000235,2023-06-22,P0031,W05,8,8
TRX000236,2025-03-25,P0019,W03,14,14
TRX000237,2023-03-21,P0038,W10,38,38
TRX000238,2025-06-04,P0012,W08,24,24
TRX000239,2023-07-22,P0014,W03,22,22
TRX000240,2025-02-02,P0050,W04,15,15
TRX000241,2023-02-16,P0012,W06,20,20
TRX000242,2024-10-17,P0015,W02,27,27
TRX000243,2024-04-15,P0019,W07,28,28
TRX000244,2025-08-28,P0028,W05,22,22
TRX000245,2025-11-01,P0040,W10,31,31
TRX000246,2025-01-05,P0041,W05,9,9
TRX000247,2025-02-22,P0005,W05,23,23
TRX000248,2025-08-25,P0005,W02,5,5
TRX000249,2023-12-24,P0006,W10,45,45
TRX000250,2025-08-29,P0023,W09,39,39
TRX000251,2024-10-29,P0003,W03,17,17
TRX000252,2024-01-08,P0037,W07,40,40
TRX000253,2025-10-28,P0033,W05,5,5
TRX000254,2024-11-06,P0043,W10,7,7
TRX000255,2023-03-31,P0021,W10,8,8
TRX000256,2024-11-28,P0020,W05,7,7
TRX000257,2024-06-23,P0001,W04,22,22
TRX000258,2025-01-01,P0039,W10,44,44
TRX000259,2025-05-18,P0047,W06,38,38
TRX000260,2023-02-10,P0017,W07,21,21
TRX000261,2025-01-09,P0029,W07,4,4
TRX000262,2024-05-16,P0008,W08,32,32
TRX000263,2025-08-16,P0026,W05,29,29
TRX000264,2025-07-17,P0028,W07,30,30
TRX000265,2024-04-05,P0034,W04,3,3
TRX000266,2025-01-01,P0026,W09,5,5
TRX000267,2025-01-21,P0013,W05,19,19
TRX000268,2025-07-13,P0044,W03,8,8
TRX000269,2025-06-27,P0037,W05,37,37
TRX000270,2024-01-25,P0013,W09,31,31
TRX000271,2025-06-01,P0038,W08,27,27
TRX000272,2023-09-13,P0025,W01,13,13
TRX000273,2024-12-09,P0047,W05,42,42
TRX000274,2024-03-25,P0023,W06,6,6
TRX000275,2023-01-10,P0022,W10,1,1
TRX000276,2025-04-03,P0021,W02,30,30
TRX000277,2025-03-08,P0030,W06,11,11
TRX000278,2025-05-26,P0011,W09,41,41
TRX000279,2025-10-25,P0004,W04,31,31
TRX000280,2025-10-12,P0033,W03,16,16
TRX000281,2024-01-09,P0047,W09,15,15
TRX000282,2023-05-26,P0012,W02,5,5
TRX000283,2023-08-12,P0009,W09,15,7
TRX000284,2023-06-26,P0032,W10,1,1
TRX000285,2025-05-02,P0011,W02,15,15
TRX000286,2023-03-04,P0037,W10,36,36
TRX000287,2025-04-06,P0024,W03,48,48
TRX000288,2025-03-05,P0007,W07,39,39
TRX000289,2024-11-19,P0008,W02,8,8
TRX000290,2023-04-15,P0033,W01,22,11
TRX000291,2024-05-25,P0025,W09,27,27
TRX000292,2024-01-20,P0001,W06,34,34
TRX000293,2024-02-09,P0003,W09,30,30
TRX000294,2025-04-02,P0040,W03,12,6
TRX000295,2024-06-01,P0028,W03,2,2
TRX000296,2024-04-20,P0043,W10,46,46
TRX000297,2024-12-09,P0033,W03,38,38
TRX000298,2025-02-09,P0046,W02,22,22
TRX000299,2025-11-12,P0001,W06,17,17
TRX000300,2025-09-23,P0038,W03,35,35
TRX000301,2024-11-07,P0027,W05,42,42
TRX000302,2024-12-14,P0038,W05,45,45
TRX000303,2023-03-24,P0035,W10,23,23
TRX000304,2024-04-01,P0010,W03,29,29
TRX000305,2023-01-01,P0012,W03,29,29
TRX000306,2023-02-20,P0010,W01,19,9
TRX000307,2024-11-15,P0034,W06,17,17
TRX000308,2024-12-17,P0024,W03,8,8
TRX000309,2024-03-24,P0028,W01,7,7
TRX000310,2025-05-30,P0022,W10,11,11
TRX000311,2024-05-02,P0045,W09,3,3
TRX000312,2023-02-03,P0016,W01,2,2
TRX000313,2023-04-05,P0013,W05,19,19
TRX000314,2023-06-03,P0036,W05,28,14
TRX000315,2023-09-07,P0036,W02,28,28
TRX000316,2024-11-04,P0043,W01,25,25
TRX000317,2024-03-13,P0023,W06,11,11
TRX000318,2023-04-28,P0014,W07,40,40
TRX000319,2025-02-09,P0032,W09,43,43
TRX000320,2023-09-25,P0003,W08,2,1
TRX000321,2023-08-24,P0027,W10,12,12
TRX000322,2024-01-24,P0019,W03,41,41
TRX000323,2025-09-16,P0022,W09,38,38
TRX000324,2025-02-01,P0001,W01,12,12
TRX000325,2024-02-05,P0005,W06,25,25
TRX000326,2024-09-15,P0049,W10,37,37
TRX000327,2025-02-05,P0033,W02,31,31
TRX000328,2025-07-07,P0019,W10,17,17
TRX000329,2025-05-02,P0036,W09,48,48
TRX000330,2024-07-31,P0006,W09,12,12
TRX000331,2023-03-16,P0015,W08,30,30
TRX000332,2024-03-10,P0036,W07,2,2
TRX000333,2023-04-13,P0033,W06,16,16
TRX000334,2025-02-02,P0024,W02,1,1
TRX000335,2025-01-07,P0027,W04,34,34
TRX000336,2025-03-16,P0049,W10,45,45
TRX000337,2023-04-08,P0011,W07,48,48
TRX000338,2025-03-08,P0049,W06,1,1
TRX000339,2025-05-08,P0023,W09,36,18
TRX000340,2024-03-10,P0033,W05,3,3
TRX000341,2024-03-22,P0041,W06,34,34
TRX000342,2023-09-06,P0046,W10,12,12
TRX000343,2023-06-15,P0047,W06,45,45
TRX000344,2025-09-10,P0029,W08,27,27
TRX000345,2025-10-16,P0031,W08,37,37
TRX000346,2024-06-25,P0001,W06,25,25
TRX000347,2025-01-28,P0034,W08,12,12
TRX000348,2023-03-22,P0018,W07,33,33
TRX000349,2023-05-13,P0018,W01,9,9
TRX000350,2025-03-07,P0006,W05,1,1
TRX000351,2025-06-18,P0040,W10,23,23
TRX000352,2023-05-18,P0001,W10,28,28
TRX000353,2023-07-03,P0047,W10,3,3
TRX000354,2025-02-23,P0042,W05,38,38
TRX000355,2025-09-10,P0030,W10,36,36
TRX000356,2023-03-10,P0004,W09,44,44
TRX000357,2024-06-29,P0032,W07,44,44
TRX000358,2023-02-22,P0010,W07,5,5
TRX000359,2023-07-24,P0043,W10,29,29
TRX000360,2023-05-06,P0005,W02,13,13
TRX000361,2023-02-12,P0009,W08,44,44
TRX000362,2023-04-21,P0005,W03,4,4
TRX000363,2025-01-30,P0011,W09,6,6
TRX000364,2025-04-27,P0035,W06,38,38
TRX000365,2023-04-05,P0027,W09,6,6
TRX000366,2025-06-18,P0004,W09,11,11
TRX000367,2023-12-26,P0010,W07,27,27
TRX000368,2025-06-18,P0039,W10,46,23
TRX000369,2023-10-08,P0033,W08,35,35
TRX000370,2024-10-28,P0038,W02,40,40
TRX000371,2023-04-03,P0008,W05,4,4
TRX000372,2024-11-02,P0049,W03,27,27
TRX000373,2023-03-02,P0024,W01,16,16
TRX000374,2024-09-25,P0039,W06,18,18
TRX000375,2025-10-25,P0033,W09,7,7
TRX000376,2024-08-26,P0041,W02,11,11
TRX000377,2024-11-12,P0043,W09,8,8
TRX000378,2024-06-17,P0019,W08,6,6
TRX000379,2025-04-17,P0002,W09,48,48
TRX000380,2024-10-06,P0011,W05,5,5
TRX000381,2023-08-21,P0035,W02,6,6
TRX000382,2024-06-07,P0017,W10,38,38
TRX000383,2023-12-12,P0042,W10,2,2
TRX000384,2024-06-29,P0003,W06,31,31
TRX000385,2025-03-04,P0022,W07,39,39
TRX000386,2023-09-06,P0035,W03,32,32
TRX000387,2023-02-16,P0021,W06,9,9
TRX000388,2023-08-02,P0025,W06,15,15
TRX000389,2023-08-27,P0039,W08,21,10
TRX000390,2023-12-16,P0002,W01,46,46
TRX000391,2023-04-17,P0001,W04,28,28
TRX000392,2025-04-10,P0007,W01,45,45
TRX000393,2023-02-17,P0020,W08,27,27
TRX000394,2023-12-03,P0043,W02,5,5
TRX000395,2025-11-15,P0006,W08,17,17
TRX000396,2025-03-14,P0036,W03,37,37
TRX000397,2023-01-08,P0021,W08,24,24
TRX000398,2024-09-16,P0046,W06,31,31
TRX000399,2024-12-19,P0035,W01,35,35
TRX000400,2023-10-30,P0036,W07,41,41
TRX000401,2024-09-30,P0008,W07,41,41
TRX000402,2023-02-25,P0050,W06,4,4
TRX000403,2024-12-26,P0004,W01,20,20
TRX000404,2024-06-09,P0043,W05,43,21
TRX000405,2024-04-18,P0016,W01,17,17
TRX000406,2023-01-28,P0003,W01,46,46
TRX000407,2023-03-19,P0007,W06,10,10
TRX000408,2023-12-31,P0002,W08,37,37
TRX000409,2024-10-27,P0001,W01,21,21
TRX000410,2024-06-09,P0001,W02,21,21
TRX000411,2024-11-29,P0038,W05,49,49
TRX000412,2025-06-01,P0007,W08,16,16
TRX000413,2025-10-27,P0024,W04,33,33
TRX000414,2025-10-23,P0005,W05,10,10
TRX000415,2025-07-07,P0021,W10,44,22
TRX000416,2025-01-19,P0028,W05,18,18
TRX000417,2023-12-29,P0018,W03,33,33
TRX000418,2025-03-16,P0024,W06,29,29
TRX000419,2025-01-08,P0032,W05,31,31
TRX000420,2025-11-04,P0045,W02,24,24
TRX000421,2024-04-29,P0033,W10,12,12
TRX000422,2023-01-28,P0010,W04,20,20
TRX000423,2024-12-14,P0009,W04,6,6
TRX000424,2025-11-28,P0049,W07,8,8
TRX000425,2023-03-27,P0033,W07,14,7
TRX000426,2023-05-06,P0033,W09,5,5
TRX000427,2025-03-22,P0007,W10,36,36
TRX000428,2024-06-20,P0004,W02,48,48
TRX000429,2023-05-25,P0028,W06,38,38
TRX000430,2023-01-25,P0023,W02,3,3
TRX000431,2023-03-08,P0032,W09,36,18
TRX000432,2023-08-21,P0044,W02,22,22
TRX000433,2023-04-19,P0016,W06,8,8
TRX000434,2023-04-21,P0046,W08,14,14
TRX000435,2023-08-16,P0010,W06,7,7
TRX000436,2023-04-21,P0014,W03,4,4
TRX000437,2023-02-03,P0039,W05,19,19
TRX000438,2024-09-14,P0036,W04,43,43
TRX000439,2025-01-17,P0034,W01,47,47
TRX000440,2024-08-17,P0024,W05,24,24
TRX000441,2024-02-29,P0018,W10,16,16
TRX000442,2024-09-04,P0016,W05,6,6
TRX000443,2024-11-22,P0041,W07,44,44
TRX000444,2023-11-11,P0037,W07,8,8
TRX000445,2025-05-26,P0041,W02,25,25
TRX000446,2024-10-23,P0025,W04,32,32
TRX000447,2023-10-04,P0008,W01,25,25
TRX000448,2024-09-15,P0024,W05,10,10
TRX000449,2024-05-30,P0020,W05,43,43
TRX000450,2025-04-22,P0048,W04,41,41
TRX000451,2023-12-16,P0030,W10,17,17
TRX000452,2025-04-02,P0020,W07,46,46
TRX000453,2025-01-28,P0018,W06,3,3
TRX000454,2025-06-17,P0004,W10,9,9
TRX000455,2023-08-31,P0048,W03,18,18
TRX000456,2024-06-26,P0036,W02,49,49
TRX000457,2025-11-29,P0006,W04,30,30
TRX000458,2023-08-17,P0003,W09,5,5
TRX000459,2024-07-01,P0018,W10,32,32
TRX000460,2025-07-08,P0047,W05,27,27
TRX000461,2023-01-06,P0040,W01,21,21
TRX000462,2024-04-12,P0018,W03,24,24
TRX000463,2023-03-16,P0023,W09,38,38
TRX000464,2023-01-04,P0035,W07,3,3
TRX000465,2024-10-07,P0006,W03,16,16
TRX000466,2023-04-28,P0026,W01,15,15
TRX000467,2025-05-30,P0021,W04,25,25
TRX000468,2024-05-18,P0024,W09,8,8
TRX000469,2025-08-04,P0015,W07,41,41
TRX000470,2024-07-27,P0027,W05,4,4
TRX000471,2023-07-13,P0032,W06,32,32
TRX000472,2025-04-26,P0012,W01,45,45
TRX000473,2024-12-15,P0005,W07,35,35
TRX000474,2025-11-15,P0007,W05,30,30
TRX000475,2023-06-22,P0022,W07,39,39
TRX000476,2023-11-22,P0027,W05,48,48
TRX000477,2025-04-15,P0015,W05,49,49
TRX000478,2024-12-24,P0039,W03,30,30
TRX000479,2023-08-13,P0045,W05,17,17
TRX000480,2024-06-15,P0035,W08,19,19
TRX000481,2023-04-23,P0026,W08,31,15
TRX000482,2023-05-20,P0023,W02,17,17
TRX000483,2024-07-12,P0013,W01,2,2
TRX000484,2023-01-01,P0026,W02,37,37
TRX000485,2023-03-31,P0003,W07,48,48
TRX000486,2024-10-15,P0029,W03,29,29
TRX000487,2023-11-16,P0002,W08,30,30
TRX000488,2023-05-19,P0028,W04,43,43
TRX000489,2025-04-24,P0023,W10,22,22
TRX000490,2023-09-16,P0036,W10,38,38
TRX000491,2025-06-20,P0049,W08,11,11
TRX000492,2024-11-20,P0006,W02,33,16
TRX000493,2023-01-10,P0011,W05,19,19
TRX000494,2023-09-18,P0038,W06,3,1
TRX000495,2023-06-21,P0034,W01,40,40
TRX000496,2025-06-16,P0017,W01,22,22
TRX000497,2023-01-13,P0003,W09,18,18
TRX000498,2023-11-17,P0044,W05,45,45
TRX000499,2023-11-25,P0046,W04,30,30
TRX000500,2025-02-23,P0034,W01,1,1
TRX000501,2025-02-15,P0022,W03,20,20
TRX000502,2025-06-29,P0029,W04,49,49
TRX000503,2023-11-14,P0029,W05,5,5
TRX000504,2023-08-24,P0005,W10,12,12
TRX000505,2023-11-30,P0010,W05,11,11
TRX000506,2024-01-11,P0010,W10,24,12
TRX000507,2024-08-10,P0009,W08,18,18
TRX000508,2024-05-27,P0021,W03,8,4
TRX000509,2025-07-06,P0013,W07,29,29
TRX000510,2025-05-22,P0010,W06,22,22
TRX000511,2023-09-27,P0038,W10,45,45
TRX000512,2025-03-08,P0011,W10,2,2
TRX000513,2024-12-25,P0004,W10,23,23
TRX000514,2023-01-05,P0046,W06,16,8
TRX000515,2025-04-30,P0031,W10,44,44
TRX000516,2023-03-19,P0049,W09,8,8
TRX000517,2024-07-27,P0034,W07,4,4
TRX000518,2023-05-12,P0042,W07,14,14
TRX000519,2024-08-23,P0035,W01,9,9
TRX000520,2023-03-30,P0039,W01,11,11
TRX000521,2024-02-06,P0039,W09,48,48
TRX000522,2023-10-23,P0033,W09,38,38
TRX000523,2024-09-07,P0008,W10,44,44
TRX000524,2025-03-10,P0032,W03,16,16
TRX000525,2024-02-26,P0033,W08,13,13
TRX000526,2025-11-12,P0008,W09,36,36
TRX000527,2024-07-28,P0046,W01,44,44
TRX000528,2023-05-23,P0014,W03,36,36
TRX000529,2025-09-19,P0034,W06,17,8
TRX000530,2024-10-26,P0008,W04,14,7
TRX000531,2023-05-25,P0042,W08,29,29
TRX000532,2025-10-03,P0007,W09,17,17
TRX000533,2024-05-17,P0013,W07,1,1
TRX000534,2025-03-31,P0021,W01,20,20
TRX000535,2023-04-14,P0047,W02,33,16
TRX000536,2025-11-28,P0032,W01,2,2
TRX000537,2023-07-17,P0011,W09,17,17
TRX000538,2024-08-01,P0014,W04,23,23
TRX000539,2024-01-26,P0011,W10,22,22
TRX000540,2024-07-07,P0002,W08,1,1
TRX000541,2025-11-04,P0034,W05,12,12
TRX000542,2024-04-22,P0044,W05,13,13
TRX000543,2025-07-11,P0047,W05,14,14
TRX000544,2024-02-24,P0017,W05,10,10
TRX000545,2023-06-06,P0014,W03,12,12
TRX000546,2024-07-03,P0025,W06,22,22
TRX000547,2025-10-17,P0048,W01,18,18
TRX000548,2025-09-23,P0027,W08,39,39
TRX000549,2025-08-08,P0008,W04,19,19
TRX000550,2023-10-16,P0017,W06,30,30
TRX000551,2023-07-15,P0005,W02,15,15
TRX000552,2024-08-20,P0012,W02,39,39
TRX000553,2024-05-31,P0038,W08,14,14
TRX000554,2025-05-14,P0018,W01,9,9
TRX000555,2025-03-16,P0026,W08,5,5
TRX000556,2025-03-25,P0031,W10,33,33
TRX000557,2023-08-16,P0037,W10,48,48
TRX000558,2023-08-04,P0006,W01,5,5
TRX000559,2025-08-05,P0041,W09,24,24
TRX000560,2023-01-15,P0015,W01,8,8
TRX000561,2023-02-16,P0042,W04,19,19
TRX000562,2023-11-20,P0049,W09,12,12
TRX000563,2025-04-23,P0026,W01,8,8
TRX000564,2023-05-10,P0012,W09,8,8
TRX000565,2023-04-05,P0041,W08,38,38
TRX000566,2024-09-18,P0047,W05,20,10
TRX000567,2025-01-24,P0014,W06,29,29
TRX000568,2025-03-04,P0001,W05,41,41
TRX000569,2023-03-10,P0017,W04,34,34
TRX000570,2023-01-11,P0033,W10,18,9
TRX000571,2025-05-21,P0029,W04,1,0
TRX000572,2024-07-03,P0045,W10,11,11
TRX000573,2024-12-12,P0031,W08,47,47
TRX000574,2023-01-23,P0008,W08,44,44
TRX000575,2025-03-25,P0030,W09,35,35
TRX000576,2023-12-12,P0013,W03,32,32
TRX000577,2023-10-29,P0016,W10,42,42
TRX000578,2023-12-29,P0002,W08,16,16
TRX000579,2024-01-31,P0045,W03,6,6
TRX000580,2023-08-06,P0018,W02,9,9
