transaction_id,date,product_id,warehouse_id,quantity_ordered,quantity_fulfilled,year,month,quarter,day_of_week,week_of_year,unit_price,unit_cost,category,revenue,cost,profit,stockout_flag,fulfillment_rate
TRX000037,2025-06-21,P0026,W03,35,35,2025,6,2,Saturday,25,859.02,482.98,Apparel,30065.7,16904.3,13161.4,0,1.0
TRX000038,2023-02-05,P0022,W03,10,10,2023,2,1,Sunday,5,674.12,423.82,Industrial,6741.2,4238.2,2503.0,0,1.0
TRX000039,2024-11-15,P0009,W08,15,15,2024,11,4,Friday,46,353.72,218.33,Apparel,5305.8,3274.9500000000003,2030.85,0,1.0
TRX000040,2023-01-20,P0005,W07,2,2,2023,1,1,Friday,3,202.77,94.95,Industrial,405.54,189.9,215.64,0,1.0
TRX000041,2023-11-17,P0017,W10,42,42,2023,11,4,Friday,46,673.13,366.36,Food,28271.46,15387.12,12884.339999999998,0,1.0
TRX000042,2024-05-26,P0049,W08,22,22,2024,5,2,Sunday,21,452.59,299.74,Furniture,9956.98,6594.280000000001,3362.699999999999,0,1.0
TRX000043,2024-02-04,P0034,W01,48,48,2024,2,1,Sunday,5,240.6,153.81,Electronics,11548.8,7382.88,4165.919999999999,0,1.0
TRX000044,2024-10-15,P0002,W04,35,35,2024,10,4,Tuesday,42,475.09,344.8,Industrial,16628.149999999998,12068.0,4560.149999999998,0,1.0
TRX000045,2025-08-29,P0007,W08,39,39,2025,8,3,Friday,35,146.74,99.3,Apparel,5722.860000000001,3872.7,1850.1600000000008,0,1.0
TRX000046,2024-04-15,P0036,W10,19,19,2024,4,2,Monday,16,244.02,107.43,Industrial,4636.38,2041.17,2595.21,0,1.0
TRX000047,2025-04-13,P0013,W02,47,47,2025,4,2,Sunday,15,724.58,422.72,Industrial,34055.26,19867.84,14187.420000000002,0,1.0
TRX000048,2024-12-27,P0020,W07,12,12,2024,12,4,Friday,52,370.5,265.21,Food,4446.0,3182.5199999999995,1263.4800000000005,0,1.0
TRX000049,2025-05-03,P0030,W08,34,34,2025,5,2,Saturday,18,173.76,90.98,Food,5907.84,3093.32,2814.52,0,1.0
TRX000050,2023-02-20,P0030,W09,45,45,2023,2,1,Monday,8,173.76,90.98,Food,7819.2,4094.1,3725.1,0,1.0
TRX000051,2024-07-28,P0011,W07,20,20,2024,7,3,Sunday,30,516.76,288.17,Food,10335.2,5763.400000000001,4571.8,0,1.0
TRX000052,2023-05-30,P0031,W09,7,7,2023,5,2,Tuesday,22,37.7,17.66,Apparel,263.90000000000003,123.62,140.28000000000003,0,1.0
TRX000053,2023-11-10,P0003,W02,24,24,2023,11,4,Friday,45,495.69,308.9,Apparel,11896.56,7413.599999999999,4482.96,0,1.0
TRX000054,2024-07-23,P0002,W01,3,3,2024,7,3,Tuesday,30,475.09,344.8,Industrial,1425.27,1034.4,390.8699999999999,0,1.0
TRX000055,2023-11-01,P0048,W01,6,6,2023,11,4,Wednesday,44,529.42,336.3,Industrial,3176.5199999999995,2017.8,1158.7199999999991,0,1.0
TRX000056,2024-11-12,P0003,W04,33,16,2024,11,4,Tuesday,46,495.69,308.9,Apparel,7931.04,4942.4,2988.6400000000003,1,0.485
TRX000057,2025-04-17,P0015,W01,34,17,2025,4,2,Thursday,16,431.03,203.62,Food,7327.509999999999,3461.54,3865.9699999999993,1,0.5
TRX000058,2025-09-29,P0017,W07,33,33,2025,9,3,Monday,40,673.13,366.36,Food,22213.29,12089.88,10123.41,0,1.0
TRX000059,2024-03-19,P0048,W08,29,29,2024,3,1,Tuesday,12,529.42,336.3,Industrial,15353.179999999998,9752.7,5600.479999999998,0,1.0
TRX000060,2024-09-04,P0007,W03,23,23,2024,9,3,Wednesday,36,146.74,99.3,Apparel,3375.0200000000004,2283.9,1091.1200000000003,0,1.0
TRX000061,2025-09-19,P0048,W01,4,4,2025,9,3,Friday,38,529.42,336.3,Industrial,2117.68,1345.2,772.4799999999998,0,1.0
TRX000062,2023-09-21,P0005,W03,5,5,2023,9,3,Thursday,38,202.77,94.95,Industrial,1013.85,474.75,539.1,0,1.0
TRX000063,2025-09-30,P0034,W02,34,34,2025,9,3,Tuesday,40,240.6,153.81,Electronics,8180.4,5229.54,2950.86,0,1.0
TRX000064,2023-01-05,P0033,W06,16,16,2023,1,1,Thursday,1,344.13,203.49,Food,5506.08,3255.84,2250.24,0,1.0
TRX000065,2025-02-12,P0045,W07,40,40,2025,2,1,Wednesday,7,88.01,56.75,Furniture,3520.4,2270.0,1250.4,0,1.0
TRX000066,2025-05-26,P0016,W09,47,47,2025,5,2,Monday,22,898.94,464.06,Furniture,42250.18,21810.82,20439.36,0,1.0
TRX000067,2025-09-18,P0037,W05,43,43,2025,9,3,Thursday,38,616.15,358.56,Apparel,26494.45,15418.08,11076.37,0,1.0
TRX000068,2025-06-02,P0003,W04,42,42,2025,6,2,Monday,23,495.69,308.9,Apparel,20818.98,12973.8,7845.18,0,1.0
TRX000069,2023-02-16,P0047,W01,3,3,2023,2,1,Thursday,7,721.03,337.73,Furniture,2163.09,1013.19,1149.9,0,1.0
TRX000070,2025-05-16,P0048,W06,43,43,2025,5,2,Friday,20,529.42,336.3,Industrial,22765.06,14460.9,8304.159999999998,0,1.0
TRX000071,2025-04-02,P0043,W08,49,24,2025,4,2,Wednesday,14,900.31,426.52,Food,21607.44,10236.48,11370.96,1,0.49
TRX000072,2025-07-24,P0050,W04,42,42,2025,7,3,Thursday,30,358.43,144.61,Food,15054.06,6073.620000000001,8980.439999999999,0,1.0
TRX000073,2024-10-17,P0021,W01,49,49,2024,10,4,Thursday,42,838.61,480.97,Furniture,41091.89,23567.53,17524.359999999997,0,1.0
TRX000074,2023-09-26,P0041,W05,14,7,2023,9,3,Tuesday,39,632.17,329.03,Food,4425.19,2303.21,2121.98,1,0.5
TRX000075,2024-01-05,P0008,W10,33,33,2024,1,1,Friday,1,949.29,380.13,Apparel,31326.57,12544.29,18782.28,0,1.0
TRX000076,2024-09-27,P0022,W05,28,28,2024,9,3,Friday,39,674.12,423.82,Industrial,18875.36,11866.96,7008.4000000000015,0,1.0
TRX000077,2024-10-18,P0005,W02,41,41,2024,10,4,Friday,42,202.77,94.95,Industrial,8313.57,3892.95,4420.619999999999,0,1.0
TRX000078,2023-04-30,P0017,W06,15,15,2023,4,2,Sunday,17,673.13,366.36,Food,10096.95,5495.400000000001,4601.55,0,1.0
TRX000079,2025-04-10,P0037,W10,4,4,2025,4,2,Thursday,15,616.15,358.56,Apparel,2464.6,1434.24,1030.36,0,1.0
TRX000080,2025-01-10,P0014,W09,20,20,2025,1,1,Friday,2,474.86,230.38,Furniture,9497.2,4607.6,4889.6,0,1.0
TRX000081,2023-04-27,P0039,W06,25,25,2023,4,2,Thursday,17,745.39,306.92,Electronics,18634.75,7673.0,10961.75,0,1.0
TRX000082,2025-03-01,P0041,W08,35,35,2025,3,1,Saturday,9,632.17,329.03,Food,22125.95,11516.05,10609.899999999998,0,1.0
TRX000083,2025-10-09,P0028,W10,39,39,2025,10,4,Thursday,41,327.95,145.24,Furniture,12790.05,5664.360000000001,7125.689999999999,0,1.0
TRX000084,2024-09-25,P0031,W03,22,22,2024,9,3,Wednesday,39,37.7,17.66,Apparel,829.4000000000001,388.52,440.8800000000001,0,1.0
TRX000085,2024-05-27,P0017,W10,35,17,2024,5,2,Monday,22,673.13,366.36,Food,11443.21,6228.12,5215.089999999999,1,0.486
TRX000086,2025-03-12,P0035,W02,47,23,2025,3,1,Wednesday,11,36.39,16.9,Apparel,836.97,388.7,448.27,1,0.489
TRX000087,2024-07-13,P0040,W04,28,28,2024,7,3,Saturday,28,824.37,463.89,Furniture,23082.36,12988.92,10093.44,0,1.0
TRX000088,2024-05-02,P0022,W09,10,10,2024,5,2,Thursday,18,674.12,423.82,Industrial,6741.2,4238.2,2503.0,0,1.0
TRX000089,2025-06-15,P0045,W09,16,16,2025,6,2,Sunday,24,88.01,56.75,Furniture,1408.16,908.0,500.1600000000001,0,1.0
TRX000090,2024-12-04,P0048,W03,49,49,2024,12,4,Wednesday,49,529.42,336.3,Industrial,25941.58,16478.7,9462.879999999996,0,1.0
TRX000091,2024-08-03,P0029,W01,23,23,2024,8,3,Saturday,31,229.79,155.17,Food,5285.17,3568.91,1716.2600000000002,0,1.0
TRX000092,2025-02-28,P0010,W01,19,19,2025,2,1,Friday,9,276.59,111.89,Industrial,5255.209999999999,2125.91,3129.2999999999997,0,1.0
TRX000093,2025-05-10,P0018,W04,1,1,2025,5,2,Saturday,19,333.79,170.0,Industrial,333.79,170.0,163.79000000000002,0,1.0
TRX000094,2023-09-04,P0035,W04,1,1,2023,9,3,Monday,36,36.39,16.9,Apparel,36.39,16.9,19.49,0,1.0
TRX000095,2023-06-03,P0044,W10,46,46,2023,6,2,Saturday,22,502.42,230.23,Furniture,23111.32,10590.58,12520.74,0,1.0
TRX000096,2025-09-23,P0016,W06,26,26,2025,9,3,Tuesday,39,898.94,464.06,Furniture,23372.44,12065.56,11306.880000000005,0,1.0
TRX000097,2024-11-27,P0050,W05,34,34,2024,11,4,Wednesday,48,358.43,144.61,Food,12186.62,4916.740000000001,7269.88,0,1.0
TRX000098,2025-10-05,P0049,W06,2,2,2025,10,4,Sunday,40,452.59,299.74,Furniture,905.18,599.48,305.69999999999993,0,1.0
TRX000099,2023-04-04,P0007,W10,28,28,2023,4,2,Tuesday,14,146.74,99.3,Apparel,4108.72,2780.4,1328.3200000000002,0,1.0
TRX000100,2025-08-15,P0030,W07,20,20,2025,8,3,Friday,33,173.76,90.98,Food,3475.2,1819.6,1655.5999999999997,0,1.0
TRX000101,2025-10-08,P0019,W07,42,42,2025,10,4,Wednesday,41,582.29,289.52,Electronics,24456.18,12159.84,12296.34,0,1.0
TRX000102,2024-03-28,P0023,W10,47,47,2024,3,1,Thursday,13,851.61,376.19,Food,40025.67,17680.93,22344.74,0,1.0
TRX000103,2025-06-30,P0008,W10,27,27,2025,6,2,Monday,27,949.29,380.13,Apparel,25630.83,10263.51,15367.319999999998,0,1.0
TRX000104,2023-08-06,P0017,W09,28,28,2023,8,3,Sunday,31,673.13,366.36,Food,18847.64,10258.08,8589.56,0,1.0
TRX000105,2024-04-18,P0021,W06,31,31,2024,4,2,Thursday,16,838.61,480.97,Furniture,25996.91,14910.070000000002,11086.839999999998,0,1.0
TRX000106,2024-03-07,P0026,W08,47,47,2024,3,1,Thursday,10,859.02,482.98,Apparel,40373.94,22700.06,17673.88,0,1.0
TRX000107,2023-12-07,P0028,W02,7,7,2023,12,4,Thursday,49,327.95,145.24,Furniture,2295.65,1016.68,1278.97,0,1.0
TRX000108,2024-07-04,P0039,W08,8,8,2024,7,3,Thursday,27,745.39,306.92,Electronics,5963.12,2455.36,3507.76,0,1.0
TRX000109,2023-12-23,P0033,W09,32,32,2023,12,4,Saturday,51,344.13,203.49,Food,11012.16,6511.68,4500.48,0,1.0
TRX000110,2023-01-23,P0040,W04,11,11,2023,1,1,Monday,4,824.37,463.89,Furniture,9068.07,5102.79,3965.28,0,1.0
TRX000111,2024-06-05,P0019,W05,48,48,2024,6,2,Wednesday,23,582.29,289.52,Electronics,27949.92,13896.96,14052.96,0,1.0
TRX000112,2025-03-12,P0029,W05,26,26,2025,3,1,Wednesday,11,229.79,155.17,Food,5974.54,4034.42,1940.1200000000003,0,1.0
TRX000113,2025-01-31,P0020,W02,25,25,2025,1,1,Friday,5,370.5,265.21,Food,9262.5,6630.249999999999,2632.250000000001,0,1.0
TRX000114,2024-03-17,P0020,W05,7,7,2024,3,1,Sunday,11,370.5,265.21,Food,2593.5,1856.47,737.0300000000002,0,1.0
TRX000115,2025-02-07,P0010,W09,20,20,2025,2,1,Friday,6,276.59,111.89,Industrial,5531.799999999999,2237.8,3293.999999999999,0,1.0
TRX000116,2025-10-12,P0012,W04,41,41,2025,10,4,Sunday,41,33.95,25.34,Apparel,1391.95,1038.94,353.01,0,1.0
TRX000117,2024-05-30,P0033,W10,30,30,2024,5,2,Thursday,22,344.13,203.49,Food,10323.9,6104.700000000001,4219.199999999999,0,1.0
TRX000118,2025-11-05,P0025,W03,1,1,2025,11,4,Wednesday,45,737.86,297.51,Electronics,737.86,297.51,440.35,0,1.0
TRX000119,2025-03-02,P0025,W07,18,18,2025,3,1,Sunday,9,737.86,297.51,Electronics,13281.48,5355.18,7926.299999999999,0,1.0
TRX000120,2023-12-02,P0004,W08,8,8,2023,12,4,Saturday,48,667.66,418.27,Industrial,5341.28,3346.16,1995.12,0,1.0
TRX000121,2023-09-15,P0004,W10,29,29,2023,9,3,Friday,37,667.66,418.27,Industrial,19362.14,12129.83,7232.309999999999,0,1.0
TRX000122,2024-05-11,P0009,W06,40,40,2024,5,2,Saturday,19,353.72,218.33,Apparel,14148.8,8733.2,5415.6,0,1.0
TRX000123,2025-06-14,P0015,W06,22,22,2025,6,2,Saturday,24,431.03,203.62,Food,9482.66,4479.64,5003.02,0,1.0
TRX000124,2023-06-09,P0026,W05,32,32,2023,6,2,Friday,23,859.02,482.98,Apparel,27488.64,15455.36,12033.28,0,1.0
TRX000125,2025-05-01,P0015,W06,40,40,2025,5,2,Thursday,18,431.03,203.62,Food,17241.199999999997,8144.8,9096.399999999998,0,1.0
TRX000126,2024-11-20,P0026,W09,14,7,2024,11,4,Wednesday,47,859.02,482.98,Apparel,6013.139999999999,3380.86,2632.2799999999997,1,0.5
TRX000127,2024-01-15,P0028,W02,2,2,2024,1,1,Monday,3,327.95,145.24,Furniture,655.9,290.48,365.42,0,1.0
TRX000128,2025-08-14,P0007,W10,35,35,2025,8,3,Thursday,33,146.74,99.3,Apparel,5135.900000000001,3475.5,1660.4000000000003,0,1.0
TRX000129,2024-11-21,P0032,W03,7,7,2024,11,4,Thursday,47,506.71,217.47,Food,3546.97,1522.29,2024.68,0,1.0
TRX000130,2023-10-12,P0012,W01,3,3,2023,10,4,Thursday,41,33.95,25.34,Apparel,101.85,76.02,25.830000000000013,0,1.0
TRX000131,2024-02-01,P0035,W04,15,15,2024,2,1,Thursday,5,36.39,16.9,Apparel,545.85,253.5,292.35,0,1.0
TRX000132,2023-01-12,P0032,W02,43,43,2023,1,1,Thursday,2,506.71,217.47,Food,21788.53,9351.21,12437.32,0,1.0
TRX000133,2024-05-13,P0009,W06,34,34,2024,5,2,Monday,20,353.72,218.33,Apparel,12026.48,7423.22,4603.260000000001,0,1.0
TRX000134,2025-01-23,P0014,W01,22,22,2025,1,1,Thursday,4,474.86,230.38,Furniture,10446.92,5068.36,5378.56,0,1.0
TRX000135,2023-02-04,P0013,W08,18,18,2023,2,1,Saturday,5,724.58,422.72,Industrial,13042.44,7608.960000000001,5433.48,0,1.0
TRX000136,2024-12-27,P0044,W10,46,46,2024,12,4,Friday,52,502.42,230.23,Furniture,23111.32,10590.58,12520.74,0,1.0
TRX000137,2025-04-28,P0033,W06,18,18,2025,4,2,Monday,18,344.13,203.49,Food,6194.34,3662.82,2531.52,0,1.0
TRX000138,2023-03-31,P0032,W09,34,34,2023,3,1,Friday,13,506.71,217.47,Food,17228.14,7393.98,9834.16,0,1.0
TRX000139,2025-02-14,P0019,W06,36,36,2025,2,1,Friday,7,582.29,289.52,Electronics,20962.44,10422.72,10539.72,0,1.0
TRX000140,2024-08-27,P0030,W10,46,46,2024,8,3,Tuesday,35,173.76,90.98,Food,7992.959999999999,4185.08,3807.879999999999,0,1.0
TRX000141,2025-08-27,P0016,W07,39,39,2025,8,3,Wednesday,35,898.94,464.06,Furniture,35058.66,18098.34,16960.320000000003,0,1.0
TRX000142,2025-10-18,P0012,W05,47,47,2025,10,4,Saturday,42,33.95,25.34,Apparel,1595.65,1190.98,404.6700000000001,0,1.0
TRX000143,2024-02-22,P0010,W08,38,38,2024,2,1,Thursday,8,276.59,111.89,Industrial,10510.419999999998,4251.82,6258.599999999999,0,1.0
TRX000144,2023-04-25,P0002,W08,37,18,2023,4,2,Tuesday,17,475.09,344.8,Industrial,8551.619999999999,6206.400000000001,2345.2199999999984,1,0.486
TRX000145,2024-09-08,P0018,W10,18,18,2024,9,3,Sunday,36,333.79,170.0,Industrial,6008.22,3060.0,2948.2200000000003,0,1.0
TRX000146,2025-04-05,P0013,W09,43,43,2025,4,2,Saturday,14,724.58,422.72,Industrial,31156.94,18176.960000000003,12979.98,0,1.0
TRX000147,2024-02-17,P0029,W06,40,40,2024,2,1,Saturday,7,229.79,155.17,Food,9191.6,6206.799999999999,2984.800000000001,0,1.0
TRX000148,2024-12-29,P0024,W01,29,29,2024,12,4,Sunday,52,511.67,274.45,Electronics,14838.43,7959.049999999999,6879.380000000001,0,1.0
TRX000149,2025-10-17,P0038,W09,12,12,2025,10,4,Friday,42,562.19,397.19,Industrial,6746.280000000001,4766.28,1980.000000000001,0,1.0
TRX000150,2025-01-30,P0012,W03,18,18,2025,1,1,Thursday,5,33.95,25.34,Apparel,611.1,456.12,154.98000000000002,0,1.0
TRX000151,2024-11-06,P0029,W09,31,31,2024,11,4,Wednesday,45,229.79,155.17,Food,7123.49,4810.27,2313.2200000000003,0,1.0
TRX000152,2024-04-01,P0022,W07,15,15,2024,4,2,Monday,14,674.12,423.82,Industrial,10111.8,6357.3,3754.499999999999,0,1.0
TRX000153,2025-07-08,P0036,W03,40,40,2025,7,3,Tuesday,28,244.02,107.43,Industrial,9760.8,4297.200000000001,5463.6,0,1.0
TRX000154,2023-07-11,P0001,W09,30,30,2023,7,3,Tuesday,28,228.61,128.1,Food,6858.3,3843.0,3015.3,0,1.0
TRX000155,2025-01-08,P0043,W07,36,36,2025,1,1,Wednesday,2,900.31,426.52,Food,32411.16,15354.72,17056.439999999995,0,1.0
TRX000156,2025-09-04,P0040,W07,28,28,2025,9,3,Thursday,36,824.37,463.89,Furniture,23082.36,12988.92,10093.44,0,1.0
TRX000157,2025-10-05,P0034,W07,15,15,2025,10,4,Sunday,40,240.6,153.81,Electronics,3609.0,2307.15,1301.85,0,1.0
TRX000158,2023-04-06,P0034,W02,43,43,2023,4,2,Thursday,14,240.6,153.81,Electronics,10345.8,6613.83,3731.9699999999993,0,1.0
TRX000159,2024-10-24,P0048,W04,33,33,2024,10,4,Thursday,43,529.42,336.3,Industrial,17470.859999999997,11097.9,6372.959999999997,0,1.0
TRX000160,2023-02-06,P0033,W10,2,2,2023,2,1,Monday,6,344.13,203.49,Food,688.26,406.98,281.28,0,1.0
TRX000161,2023-10-06,P0004,W08,8,8,2023,10,4,Friday,40,667.66,418.27,Industrial,5341.28,3346.16,1995.12,0,1.0
TRX000162,2023-08-05,P0038,W02,48,48,2023,8,3,Saturday,31,562.19,397.19,Industrial,26985.120000000003,19065.12,7920.000000000004,0,1.0
TRX000163,2025-05-16,P0030,W04,33,33,2025,5,2,Friday,20,173.76,90.98,Food,5734.08,3002.34,2731.74,0,1.0
TRX000164,2025-05-22,P0046,W10,35,35,2025,5,2,Thursday,21,373.76,191.7,Electronics,13081.6,6709.5,6372.1,0,1.0
TRX000165,2023-03-03,P0020,W08,18,9,2023,3,1,Friday,9,370.5,265.21,Food,3334.5,2386.89,947.61,1,0.5
TRX000166,2024-08-18,P0026,W03,26,26,2024,8,3,Sunday,33,859.02,482.98,Apparel,22334.52,12557.48,9777.04,0,1.0
TRX000167,2024-12-29,P0015,W06,48,48,2024,12,4,Sunday,52,431.03,203.62,Food,20689.44,9773.76,10915.679999999998,0,1.0
TRX000168,2024-02-01,P0007,W02,21,21,2024,2,1,Thursday,5,146.74,99.3,Apparel,3081.54,2085.3,996.2400000000002,0,1.0
TRX000169,2024-11-29,P0007,W08,28,28,2024,11,4,Friday,48,146.74,99.3,Apparel,4108.72,2780.4,1328.3200000000002,0,1.0
TRX000170,2025-11-08,P0050,W08,20,20,2025,11,4,Saturday,45,358.43,144.61,Food,7168.6,2892.2000000000003,4276.4,0,1.0
TRX000171,2023-06-26,P0029,W01,45,22,2023,6,2,Monday,26,229.79,155.17,Food,5055.38,3413.74,1641.6400000000003,1,0.489
TRX000172,2024-01-31,P0023,W03,20,20,2024,1,1,Wednesday,5,851.61,376.19,Food,17032.2,7523.8,9508.4,0,1.0
TRX000173,2024-03-20,P0034,W02,4,4,2024,3,1,Wednesday,12,240.6,153.81,Electronics,962.4,615.24,347.16,0,1.0
TRX000174,2023-03-17,P0020,W07,36,36,2023,3,1,Friday,11,370.5,265.21,Food,13338.0,9547.56,3790.440000000001,0,1.0
TRX000175,2023-09-22,P0015,W07,34,34,2023,9,3,Friday,38,431.03,203.62,Food,14655.02,6923.08,7731.939999999999,0,1.0
TRX000176,2024-03-30,P0033,W04,45,45,2024,3,1,Saturday,13,344.13,203.49,Food,15485.85,9157.05,6328.799999999999,0,1.0
TRX000177,2024-12-18,P0017,W08,13,13,2024,12,4,Wednesday,51,673.13,366.36,Food,8750.69,4762.68,3988.01,0,1.0
TRX000178,2025-01-04,P0020,W03,31,31,2025,1,1,Saturday,1,370.5,265.21,Food,11485.5,8221.51,3263.99,0,1.0
TRX000179,2025-04-30,P0013,W09,39,39,2025,4,2,Wednesday,18,724.58,422.72,Industrial,28258.620000000003,16486.08,11772.54,0,1.0
TRX000180,2023-05-24,P0044,W05,7,7,2023,5,2,Wednesday,21,502.42,230.23,Furniture,3516.94,1611.61,1905.33,0,1.0
TRX000181,2025-06-03,P0024,W02,17,8,2025,6,2,Tuesday,23,511.67,274.45,Electronics,4093.36,2195.6,1897.76,1,0.471
TRX000182,2024-01-31,P0047,W09,42,42,2024,1,1,Wednesday,5,721.03,337.73,Furniture,30283.26,14184.66,16098.6,0,1.0
TRX000183,2025-11-14,P0037,W01,12,12,2025,11,4,Friday,46,616.15,358.56,Apparel,7393.799999999999,4302.72,3091.079999999999,0,1.0
TRX000184,2025-08-05,P0007,W08,30,30,2025,8,3,Tuesday,32,146.74,99.3,Apparel,4402.200000000001,2979.0,1423.2000000000007,0,1.0
TRX000185,2025-06-09,P0008,W06,48,48,2025,6,2,Monday,24,949.29,380.13,Apparel,45565.92,18246.24,27319.68,0,1.0
TRX000186,2024-07-22,P0023,W01,34,34,2024,7,3,Monday,30,851.61,376.19,Food,28954.74,12790.46,16164.280000000002,0,1.0
TRX000187,2025-11-28,P0014,W04,22,22,2025,11,4,Friday,48,474.86,230.38,Furniture,10446.92,5068.36,5378.56,0,1.0
