order_id,order_date,supplier_id,product_id,qty_ordered,delivery_days_actual,supplier_name,country,reliability_score,lead_time_days,expected_delivery_days,delay_days,is_delayed,unit_cost,order_value
PO00044,2025-10-01,S014,P0014,374,13,Supplier_N,Germany,0.79,17,17,-4,0,230.38,86162.12
PO00045,2025-02-20,S010,P0039,149,12,Supplier_J,USA,0.89,11,11,1,1,306.92,45731.08
PO00046,2025-02-21,S007,P0010,436,8,Supplier_G,Japan,0.75,16,16,-8,0,111.89,48784.04
PO00047,2023-06-12,S016,P0011,184,13,Supplier_P,USA,0.89,9,9,4,1,288.17,53023.280000000006
PO00048,2023-01-11,S011,P0016,115,5,Supplier_K,USA,0.77,15,15,-10,0,464.06,53366.9
PO00049,2025-01-02,S008,P0050,402,15,Supplier_H,Japan,0.86,11,11,4,1,144.61,58133.22000000001
PO00050,2023-02-14,S001,P0002,439,14,Supplier_A,India,0.96,3,3,11,1,344.8,151367.2
PO00051,2025-03-02,S007,P0032,342,13,Supplier_G,Japan,0.75,14,14,-1,0,217.47,74374.74
PO00052,2024-06-27,S006,P0004,393,28,Supplier_F,India,0.7,7,7,21,1,418.27,164380.11
PO00053,2023-12-17,S011,P0037,166,28,Supplier_K,USA,0.77,3,3,25,1,358.56,59520.96
PO00054,2023-05-07,S018,P0020,429,5,Supplier_R,Germany,0.89,7,7,-2,0,265.21,113775.09
PO00055,2023-09-04,S020,P0018,271,12,Supplier_T,India,0.73,19,19,-7,0,170.0,46070.0
PO00056,2024-03-09,S008,P0009,479,21,Supplier_H,Japan,0.86,7,7,14,1,218.33,104580.07
PO00057,2024-11-26,S016,P0048,290,17,Supplier_P,USA,0.89,14,14,3,1,336.3,97527.0
PO00058,2023-09-22,S017,P0046,113,5,Supplier_Q,India,0.95,3,3,2,1,191.7,21662.1
PO00059,2023-04-16,S004,P0038,390,6,Supplier_D,China,0.73,15,15,-9,0,397.19,154904.1
PO00060,2024-12-30,S015,P0049,253,6,Supplier_O,India,0.92,17,17,-11,0,299.74,75834.22
PO00061,2023-10-01,S003,P0018,231,18,Supplier_C,USA,0.7,19,19,-1,0,170.0,39270.0
PO00062,2025-04-06,S001,P0039,421,25,Supplier_A,India,0.96,11,11,14,1,306.92,129213.32
PO00063,2024-12-07,S016,P0030,484,27,Supplier_P,USA,0.89,15,15,12,1,90.98,44034.32
PO00064,2025-04-28,S006,P0048,469,26,Supplier_F,India,0.7,14,14,12,1,336.3,157724.7
PO00065,2024-06-10,S018,P0026,485,8,Supplier_R,Germany,0.89,15,15,-7,0,482.98,234245.30000000002
PO00066,2023-06-12,S005,P0043,153,5,Supplier_E,USA,0.89,10,10,-5,0,426.52,65257.56
PO00067,2025-10-14,S010,P0030,231,9,Supplier_J,USA,0.89,15,15,-6,0,90.98,21016.38
PO00068,2025-04-13,S017,P0017,449,8,Supplier_Q,India,0.95,9,9,-1,0,366.36,164495.64
PO00069,2024-07-22,S019,P0044,423,29,Supplier_S,USA,0.86,11,11,18,1,230.23,97387.29
PO00070,2025-04-08,S017,P0014,375,26,Supplier_Q,India,0.95,17,17,9,1,230.38,86392.5
PO00071,2023-12-08,S010,P0028,200,9,Supplier_J,USA,0.89,4,4,5,1,145.24,29048.0
PO00072,2023-07-29,S007,P0025,186,24,Supplier_G,Japan,0.75,6,6,18,1,297.51,55336.86
PO00073,2024-09-16,S006,P0032,255,25,Supplier_F,India,0.7,14,14,11,1,217.47,55454.85
PO00074,2024-07-22,S009,P0012,376,7,Supplier_I,Germany,0.9,11,11,-4,0,25.34,9527.84
PO00075,2024-09-16,S011,P0015,324,28,Supplier_K,USA,0.77,12,12,16,1,203.62,65972.88
PO00076,2023-10-25,S012,P0047,266,29,Supplier_L,Germany,0.91,12,12,17,1,337.73,89836.18000000001
PO00077,2024-02-13,S018,P0006,190,5,Supplier_R,Germany,0.89,16,16,-11,0,201.62,38307.8
PO00078,2025-03-12,S006,P0040,490,19,Supplier_F,India,0.7,5,5,14,1,463.89,227306.1
PO00079,2023-03-10,S012,P0002,374,25,Supplier_L,Germany,0.91,3,3,22,1,344.8,128955.2
PO00080,2024-07-09,S011,P0035,232,20,Supplier_K,USA,0.77,9,9,11,1,16.9,3920.7999999999997
PO00081,2023-04-02,S016,P0031,299,15,Supplier_P,USA,0.89,8,8,7,1,17.66,5280.34
PO00082,2025-04-21,S002,P0045,195,10,Supplier_B,India,0.88,7,7,3,1,56.75,11066.25
PO00083,2023-06-07,S018,P0006,456,23,Supplier_R,Germany,0.89,16,16,7,1,201.62,91938.72
PO00084,2023-10-11,S013,P0006,466,23,Supplier_M,Germany,0.77,16,16,7,1,201.62,93954.92
PO00085,2024-09-06,S012,P0050,193,10,Supplier_L,Germany,0.91,11,11,-1,0,144.61,27909.730000000003
PO00086,2025-11-20,S020,P0002,268,28,Supplier_T,India,0.73,3,3,25,1,344.8,92406.40000000001
PO00087,2023-04-05,S013,P0010,269,22,Supplier_M,Germany,0.77,16,16,6,1,111.89,30098.41
PO00088,2024-06-13,S015,P0026,487,16,Supplier_O,India,0.92,15,15,1,1,482.98,235211.26
PO00089,2025-10-30,S007,P0037,330,14,Supplier_G,Japan,0.75,3,3,11,1,358.56,118324.8
PO00090,2023-06-09,S002,P0039,105,27,Supplier_B,India,0.88,11,11,16,1,306.92,32226.600000000002
PO00091,2025-05-29,S010,P0044,294,16,Supplier_J,USA,0.89,11,11,5,1,230.23,67687.62
PO00092,2025-04-19,S018,P0006,229,21,Supplier_R,Germany,0.89,16,16,5,1,201.62,46170.98
PO00093,2025-03-24,S019,P0020,248,5,Supplier_S,USA,0.86,7,7,-2,0,265.21,65772.08
PO00094,2025-09-07,S005,P0021,193,19,Supplier_E,USA,0.89,9,9,10,1,480.97,92827.21
PO00095,2023-08-11,S016,P0010,190,16,Supplier_P,USA,0.89,16,16,0,0,111.89,21259.1
PO00096,2025-05-10,S009,P0024,346,22,Supplier_I,Germany,0.9,13,13,9,1,274.45,94959.7
PO00097,2023-05-17,S012,P0015,497,29,Supplier_L,Germany,0.91,12,12,17,1,203.62,101199.14
PO00098,2025-10-31,S018,P0044,384,9,Supplier_R,Germany,0.89,11,11,-2,0,230.23,88408.31999999999
PO00099,2023-11-23,S013,P0034,243,5,Supplier_M,Germany,0.77,13,13,-8,0,153.81,37375.83
PO00100,2025-04-19,S003,P0038,468,10,Supplier_C,USA,0.7,15,15,-5,0,397.19,185884.92
PO00101,2024-07-24,S020,P0012,463,6,Supplier_T,India,0.73,11,11,-5,0,25.34,11732.42
PO00102,2024-08-01,S003,P0048,223,16,Supplier_C,USA,0.7,14,14,2,1,336.3,74994.90000000001
PO00103,2023-03-24,S003,P0030,149,15,Supplier_C,USA,0.7,15,15,0,0,90.98,13556.02
PO00104,2025-03-25,S015,P0013,487,13,Supplier_O,India,0.92,17,17,-4,0,422.72,205864.64
PO00105,2023-04-22,S018,P0028,305,16,Supplier_R,Germany,0.89,4,4,12,1,145.24,44298.200000000004
PO00106,2023-10-15,S003,P0017,115,18,Supplier_C,USA,0.7,9,9,9,1,366.36,42131.4
PO00107,2024-11-11,S010,P0006,238,11,Supplier_J,USA,0.89,16,16,-5,0,201.62,47985.56
PO00108,2024-01-30,S011,P0042,290,21,Supplier_K,USA,0.77,8,8,13,1,458.33,132915.69999999998
PO00109,2024-10-13,S008,P0002,194,24,Supplier_H,Japan,0.86,3,3,21,1,344.8,66891.2
PO00110,2023-02-19,S008,P0014,384,5,Supplier_H,Japan,0.86,17,17,-12,0,230.38,88465.92
PO00111,2023-05-01,S010,P0024,393,11,Supplier_J,USA,0.89,13,13,-2,0,274.45,107858.84999999999
PO00112,2024-11-21,S001,P0001,335,9,Supplier_A,India,0.96,5,5,4,1,128.1,42913.5
PO00113,2023-06-13,S017,P0034,137,9,Supplier_Q,India,0.95,13,13,-4,0,153.81,21071.97
PO00114,2025-03-08,S013,P0007,191,13,Supplier_M,Germany,0.77,5,5,8,1,99.3,18966.3
PO00115,2024-02-29,S007,P0010,198,27,Supplier_G,Japan,0.75,16,16,11,1,111.89,22154.22
PO00116,2023-12-25,S019,P0016,196,8,Supplier_S,USA,0.86,15,15,-7,0,464.06,90955.76
PO00117,2024-05-04,S014,P0019,322,5,Supplier_N,Germany,0.79,6,6,-1,0,289.52,93225.43999999999
PO00118,2023-11-01,S007,P0026,427,24,Supplier_G,Japan,0.75,15,15,9,1,482.98,206232.46000000002
PO00119,2025-08-16,S017,P0048,322,12,Supplier_Q,India,0.95,14,14,-2,0,336.3,108288.6
PO00120,2024-09-18,S015,P0044,467,5,Supplier_O,India,0.92,11,11,-6,0,230.23,107517.40999999999
PO00121,2024-11-08,S005,P0047,153,14,Supplier_E,USA,0.89,12,12,2,1,337.73,51672.69
PO00122,2025-05-11,S011,P0036,296,11,Supplier_K,USA,0.77,3,3,8,1,107.43,31799.280000000002
PO00123,2024-02-21,S001,P0040,201,10,Supplier_A,India,0.96,5,5,5,1,463.89,93241.89
PO00124,2023-03-10,S012,P0042,219,7,Supplier_L,Germany,0.91,8,8,-1,0,458.33,100374.26999999999
PO00125,2024-06-05,S016,P0038,108,14,Supplier_P,USA,0.89,15,15,-1,0,397.19,42896.52
PO00126,2024-04-12,S001,P0034,410,11,Supplier_A,India,0.96,13,13,-2,0,153.81,63062.1
PO00127,2025-08-05,S017,P0028,165,12,Supplier_Q,India,0.95,4,4,8,1,145.24,23964.600000000002
PO00128,2024-08-09,S016,P0016,456,6,Supplier_P,USA,0.89,15,15,-9,0,464.06,211611.36000000002
PO00129,2023-02-20,S015,P0044,169,12,Supplier_O,India,0.92,11,11,1,1,230.23,38908.869999999995
PO00130,2023-10-17,S019,P0023,375,14,Supplier_S,USA,0.86,17,17,-3,0,376.19,141071.25
PO00131,2025-11-05,S002,P0023,304,26,Supplier_B,India,0.88,17,17,9,1,376.19,114361.76
PO00132,2023-03-09,S016,P0050,177,18,Supplier_P,USA,0.89,11,11,7,1,144.61,25595.97
PO00133,2023-02-26,S007,P0045,486,9,Supplier_G,Japan,0.75,7,7,2,1,56.75,27580.5
PO00134,2025-07-12,S013,P0008,463,17,Supplier_M,Germany,0.77,3,3,14,1,380.13,176000.19
PO00135,2023-11-26,S001,P0009,460,14,Supplier_A,India,0.96,7,7,7,1,218.33,100431.8
PO00136,2023-08-04,S010,P0026,143,25,Supplier_J,USA,0.89,15,15,10,1,482.98,69066.14
PO00137,2023-10-31,S010,P0009,345,27,Supplier_J,USA,0.89,7,7,20,1,218.33,75323.85
PO00138,2023-10-20,S020,P0009,252,24,Supplier_T,India,0.73,7,7,17,1,218.33,55019.16
PO00139,2023-09-23,S012,P0039,150,16,Supplier_L,Germany,0.91,11,11,5,1,306.92,46038.0
PO00140,2024-08-29,S009,P0020,114,14,Supplier_I,Germany,0.9,7,7,7,1,265.21,30233.94
PO00141,2023-08-16,S014,P0005,205,5,Supplier_N,Germany,0.79,17,17,-12,0,94.95,19464.75
PO00142,2023-06-06,S006,P0014,304,25,Supplier_F,India,0.7,17,17,8,1,230.38,70035.52
PO00143,2023-02-10,S005,P0025,255,11,Supplier_E,USA,0.89,6,6,5,1,297.51,75865.05
PO00144,2023-04-24,S012,P0018,286,14,Supplier_L,Germany,0.91,19,19,-5,0,170.0,48620.0
PO00145,2024-09-25,S015,P0032,334,21,Supplier_O,India,0.92,14,14,7,1,217.47,72634.98
PO00146,2024-10-24,S002,P0045,423,9,Supplier_B,India,0.88,7,7,2,1,56.75,24005.25
PO00147,2024-10-02,S001,P0046,189,20,Supplier_A,India,0.96,3,3,17,1,191.7,36231.299999999996
PO00148,2024-09-05,S003,P0047,400,5,Supplier_C,USA,0.7,12,12,-7,0,337.73,135092.0
PO00149,2025-07-09,S003,P0023,310,14,Supplier_C,USA,0.7,17,17,-3,0,376.19,116618.9
PO00150,2025-06-09,S014,P0038,292,17,Supplier_N,Germany,0.79,15,15,2,1,397.19,115979.48
PO00151,2023-12-12,S012,P0015,205,27,Supplier_L,Germany,0.91,12,12,15,1,203.62,41742.1
PO00152,2023-07-08,S016,P0038,384,21,Supplier_P,USA,0.89,15,15,6,1,397.19,152520.96
PO00153,2023-02-01,S013,P0012,255,29,Supplier_M,Germany,0.77,11,11,18,1,25.34,6461.7
PO00154,2024-12-25,S004,P0017,390,14,Supplier_D,China,0.73,9,9,5,1,366.36,142880.4
PO00155,2025-11-12,S006,P0034,112,23,Supplier_F,India,0.7,13,13,10,1,153.81,17226.72
PO00156,2025-06-07,S005,P0023,113,14,Supplier_E,USA,0.89,17,17,-3,0,376.19,42509.47
PO00157,2024-02-20,S006,P0036,172,22,Supplier_F,India,0.7,3,3,19,1,107.43,18477.960000000003
PO00158,2024-10-04,S007,P0018,293,12,Supplier_G,Japan,0.75,19,19,-7,0,170.0,49810.0
PO00159,2024-07-09,S020,P0032,344,20,Supplier_T,India,0.73,14,14,6,1,217.47,74809.68
PO00160,2024-11-24,S008,P0040,433,24,Supplier_H,Japan,0.86,5,5,19,1,463.89,200864.37
PO00161,2024-06-01,S020,P0046,358,7,Supplier_T,India,0.73,3,3,4,1,191.7,68628.59999999999
PO00162,2023-11-22,S010,P0041,103,16,Supplier_J,USA,0.89,9,9,7,1,329.03,33890.09
PO00163,2024-03-18,S010,P0026,298,10,Supplier_J,USA,0.89,15,15,-5,0,482.98,143928.04
PO00164,2024-11-27,S020,P0049,370,21,Supplier_T,India,0.73,17,17,4,1,299.74,110903.8
PO00165,2025-02-20,S011,P0048,279,21,Supplier_K,USA,0.77,14,14,7,1,336.3,93827.7
PO00166,2025-11-30,S001,P0016,211,20,Supplier_A,India,0.96,15,15,5,1,464.06,97916.66
PO00167,2024-02-18,S018,P0012,175,20,Supplier_R,Germany,0.89,11,11,9,1,25.34,4434.5
PO00168,2023-03-19,S011,P0032,116,27,Supplier_K,USA,0.77,14,14,13,1,217.47,25226.52
PO00169,2023-06-16,S012,P0022,372,27,Supplier_L,Germany,0.91,15,15,12,1,423.82,157661.04
PO00170,2023-06-21,S010,P0022,361,12,Supplier_J,USA,0.89,15,15,-3,0,423.82,152999.02
PO00171,2023-08-18,S017,P0024,278,27,Supplier_Q,India,0.95,13,13,14,1,274.45,76297.09999999999
PO00172,2025-02-05,S006,P0029,147,20,Supplier_F,India,0.7,12,12,8,1,155.17,22809.989999999998
PO00173,2023-05-11,S014,P0040,486,25,Supplier_N,Germany,0.79,5,5,20,1,463.89,225450.53999999998
PO00174,2025-09-30,S018,P0043,111,27,Supplier_R,Germany,0.89,10,10,17,1,426.52,47343.72
PO00175,2024-06-29,S003,P0035,409,22,Supplier_C,USA,0.7,9,9,13,1,16.9,6912.099999999999
PO00176,2024-10-28,S007,P0020,151,27,Supplier_G,Japan,0.75,7,7,20,1,265.21,40046.71
PO00177,2023-02-12,S010,P0044,261,26,Supplier_J,USA,0.89,11,11,15,1,230.23,60090.03
PO00178,2024-10-25,S012,P0013,164,28,Supplier_L,Germany,0.91,17,17,11,1,422.72,69326.08
PO00179,2023-03-03,S008,P0005,342,17,Supplier_H,Japan,0.86,17,17,0,0,94.95,32472.9
PO00180,2025-01-02,S013,P0038,488,11,Supplier_M,Germany,0.77,15,15,-4,0,397.19,193828.72
PO00181,2024-08-18,S004,P0018,169,16,Supplier_D,China,0.73,19,19,-3,0,170.0,28730.0
PO00182,2023-04-29,S014,P0012,370,27,Supplier_N,Germany,0.79,11,11,16,1,25.34,9375.8
PO00183,2025-03-18,S008,P0048,417,26,Supplier_H,Japan,0.86,14,14,12,1,336.3,140237.1
PO00184,2023-01-30,S003,P0030,407,21,Supplier_C,USA,0.7,15,15,6,1,90.98,37028.86
PO00185,2024-12-22,S005,P0001,419,17,Supplier_E,USA,0.89,5,5,12,1,128.1,53673.899999999994
PO00186,2024-09-04,S001,P0044,467,10,Supplier_A,India,0.96,11,11,-1,0,230.23,107517.40999999999
PO00187,2025-04-30,S012,P0031,389,20,Supplier_L,Germany,0.91,8,8,12,1,17.66,6869.74
PO00188,2025-11-04,S005,P0015,409,18,Supplier_E,USA,0.89,12,12,6,1,203.62,83280.58
PO00189,2025-05-04,S013,P0019,107,11,Supplier_M,Germany,0.77,6,6,5,1,289.52,30978.64
PO00190,2025-03-21,S007,P0046,232,22,Supplier_G,Japan,0.75,3,3,19,1,191.7,44474.399999999994
PO00191,2024-10-07,S010,P0005,445,23,Supplier_J,USA,0.89,17,17,6,1,94.95,42252.75
PO00192,2023-11-02,S018,P0016,300,11,Supplier_R,Germany,0.89,15,15,-4,0,464.06,139218.0
PO00193,2023-10-13,S005,P0043,376,11,Supplier_E,USA,0.89,10,10,1,1,426.52,160371.52
PO00194,2025-10-05,S012,P0044,462,21,Supplier_L,Germany,0.91,11,11,10,1,230.23,106366.26
PO00195,2025-06-06,S011,P0006,442,6,Supplier_K,USA,0.77,16,16,-10,0,201.62,89116.04000000001
PO00196,2023-10-13,S019,P0010,186,18,Supplier_S,USA,0.86,16,16,2,1,111.89,20811.54
PO00197,2025-02-07,S009,P0016,347,15,Supplier_I,Germany,0.9,15,15,0,0,464.06,161028.82
PO00198,2023-03-15,S011,P0005,447,13,Supplier_K,USA,0.77,17,17,-4,0,94.95,42442.65
PO00199,2023-06-23,S012,P0044,170,11,Supplier_L,Germany,0.91,11,11,0,0,230.23,39139.1
PO00200,2023-11-09,S007,P0001,448,7,Supplier_G,Japan,0.75,5,5,2,1,128.1,57388.799999999996
PO00201,2024-08-13,S007,P0005,315,27,Supplier_G,Japan,0.75,17,17,10,1,94.95,29909.25
PO00202,2024-10-29,S010,P0012,282,28,Supplier_J,USA,0.89,11,11,17,1,25.34,7145.88
PO00203,2023-03-18,S008,P0048,282,12,Supplier_H,Japan,0.86,14,14,-2,0,336.3,94836.6
PO00204,2023-11-03,S013,P0038,120,22,Supplier_M,Germany,0.77,15,15,7,1,397.19,47662.8
PO00205,2024-01-07,S006,P0037,303,8,Supplier_F,India,0.7,3,3,5,1,358.56,108643.68000000001
PO00206,2023-11-30,S007,P0020,361,29,Supplier_G,Japan,0.75,7,7,22,1,265.21,95740.81
PO00207,2023-10-12,S010,P0008,484,17,Supplier_J,USA,0.89,3,3,14,1,380.13,183982.91999999998
PO00208,2025-11-03,S009,P0008,474,20,Supplier_I,Germany,0.9,3,3,17,1,380.13,180181.62
PO00209,2024-11-05,S003,P0007,236,25,Supplier_C,USA,0.7,5,5,20,1,99.3,23434.8
PO00210,2025-02-11,S011,P0030,141,29,Supplier_K,USA,0.77,15,15,14,1,90.98,12828.18
PO00211,2025-02-07,S010,P0044,185,9,Supplier_J,USA,0.89,11,11,-2,0,230.23,42592.549999999996
PO00212,2025-02-27,S014,P0019,265,5,Supplier_N,Germany,0.79,6,6,-1,0,289.52,76722.79999999999
PO00213,2023-02-05,S004,P0025,100,18,Supplier_D,China,0.73,6,6,12,1,297.51,29751.0
PO00214,2024-06-28,S002,P0015,127,9,Supplier_B,India,0.88,12,12,-3,0,203.62,25859.74
PO00215,2024-03-10,S015,P0049,173,18,Supplier_O,India,0.92,17,17,1,1,299.74,51855.020000000004
PO00216,2023-11-01,S020,P0001,192,24,Supplier_T,India,0.73,5,5,19,1,128.1,24595.199999999997
PO00217,2024-12-13,S004,P0025,465,15,Supplier_D,China,0.73,6,6,9,1,297.51,138342.15
PO00218,2024-03-30,S003,P0035,177,5,Supplier_C,USA,0.7,9,9,-4,0,16.9,2991.2999999999997
PO00219,2023-10-01,S014,P0028,219,8,Supplier_N,Germany,0.79,4,4,4,1,145.24,31807.56
PO00220,2023-10-03,S010,P0021,240,23,Supplier_J,USA,0.89,9,9,14,1,480.97,115432.8
PO00221,2024-04-28,S010,P0023,165,11,Supplier_J,USA,0.89,17,17,-6,0,376.19,62071.35
PO00222,2023-02-22,S005,P0029,165,16,Supplier_E,USA,0.89,12,12,4,1,155.17,25603.05
PO00223,2025-06-06,S011,P0033,117,17,Supplier_K,USA,0.77,14,14,3,1,203.49,23808.33
PO00224,2025-04-09,S013,P0026,424,29,Supplier_M,Germany,0.77,15,15,14,1,482.98,204783.52000000002
PO00225,2023-05-28,S020,P0046,423,22,Supplier_T,India,0.73,3,3,19,1,191.7,81089.09999999999
PO00226,2023-10-08,S014,P0013,476,8,Supplier_N,Germany,0.79,17,17,-9,0,422.72,201214.72
PO00227,2023-12-16,S003,P0004,322,14,Supplier_C,USA,0.7,7,7,7,1,418.27,134682.94
PO00228,2024-11-21,S003,P0033,359,28,Supplier_C,USA,0.7,14,14,14,1,203.49,73052.91
PO00229,2025-07-05,S013,P0010,156,13,Supplier_M,Germany,0.77,16,16,-3,0,111.89,17454.84
PO00230,2024-01-17,S012,P0039,494,25,Supplier_L,Germany,0.91,11,11,14,1,306.92,151618.48
PO00231,2025-01-08,S008,P0020,421,28,Supplier_H,Japan,0.86,7,7,21,1,265.21,111653.40999999999
PO00232,2024-02-04,S015,P0038,364,19,Supplier_O,India,0.92,15,15,4,1,397.19,144577.16
PO00233,2025-08-13,S014,P0050,176,19,Supplier_N,Germany,0.79,11,11,8,1,144.61,25451.36
PO00234,2023-07-16,S008,P0031,219,18,Supplier_H,Japan,0.86,8,8,10,1,17.66,3867.54
PO00235,2023-12-25,S003,P0013,161,17,Supplier_C,USA,0.7,17,17,0,0,422.72,68057.92
PO00236,2025-10-10,S018,P0034,344,26,Supplier_R,Germany,0.89,13,13,13,1,153.81,52910.64
PO00237,2025-06-07,S012,P0011,499,6,Supplier_L,Germany,0.91,9,9,-3,0,288.17,143796.83000000002
PO00238,2025-10-08,S007,P0027,309,27,Supplier_G,Japan,0.75,9,9,18,1,307.45,95002.05
PO00239,2023-04-12,S008,P0007,136,14,Supplier_H,Japan,0.86,5,5,9,1,99.3,13504.8
PO00240,2024-08-05,S003,P0049,384,6,Supplier_C,USA,0.7,17,17,-11,0,299.74,115100.16
PO00241,2023-04-15,S013,P0015,259,14,Supplier_M,Germany,0.77,12,12,2,1,203.62,52737.58
PO00242,2024-11-02,S005,P0011,437,11,Supplier_E,USA,0.89,9,9,2,1,288.17,125930.29000000001
PO00243,2024-10-17,S016,P0002,446,14,Supplier_P,USA,0.89,3,3,11,1,344.8,153780.80000000002
PO00244,2024-12-30,S020,P0011,433,11,Supplier_T,India,0.73,9,9,2,1,288.17,124777.61
PO00245,2024-11-10,S018,P0046,364,5,Supplier_R,Germany,0.89,3,3,2,1,191.7,69778.8
PO00246,2023-07-01,S018,P0041,453,13,Supplier_R,Germany,0.89,9,9,4,1,329.03,149050.59
PO00247,2023-12-07,S005,P0045,366,14,Supplier_E,USA,0.89,7,7,7,1,56.75,20770.5
PO00248,2025-07-02,S010,P0041,250,19,Supplier_J,USA,0.89,9,9,10,1,329.03,82257.5
PO00249,2025-07-31,S005,P0025,252,17,Supplier_E,USA,0.89,6,6,11,1,297.51,74972.52
PO00250,2025-02-05,S002,P0015,309,29,Supplier_B,India,0.88,12,12,17,1,203.62,62918.58
PO00251,2023-08-18,S008,P0002,459,26,Supplier_H,Japan,0.86,3,3,23,1,344.8,158263.2
